date	unique_recievers
2022-03-16	86622
2022-03-15	61747
2022-03-14	63551
2022-03-13	53381
2022-03-12	53201
2022-03-11	55860
2022-03-10	60034
2022-03-09	81201
2022-03-08	80098
2022-03-07	88759
2022-03-06	77464
2022-03-05	80546
2022-03-04	91834
2022-03-03	96403
2022-03-02	105066
2022-03-01	111863
2022-02-28	90286
2022-02-27	86298
2022-02-26	78561
2022-02-25	82825
2022-02-24	90910
2022-02-23	87856
2022-02-22	85229
2022-02-21	89787
2022-02-20	78558
2022-02-19	91103
2022-02-18	94612
2022-02-17	93628
2022-02-16	102213
2022-02-15	106494
2022-02-14	109716
2022-02-13	86362
2022-02-12	85293
2022-02-11	88782
2022-02-10	89132
2022-02-09	84837
2022-02-08	100280
2022-02-07	93968
2022-02-06	81755
2022-02-05	81675
2022-02-04	94541
2022-02-03	97942
2022-02-02	87087
2022-02-01	80330
2022-01-31	74638
2022-01-30	71497
2022-01-29	75884
2022-01-28	82720
2022-01-27	86631
2022-01-26	93794
2022-01-25	74813
2022-01-24	76406
2022-01-23	80919
2022-01-22	77023
2022-01-21	74372
2022-01-20	66838
2022-01-19	69090
2022-01-18	73294
2022-01-17	96611
2022-01-16	78875
2022-01-15	89938
2022-01-14	87925
2022-01-13	93548
2022-01-12	92523
2022-01-11	92489
2022-01-10	95938
2022-01-09	76126
2022-01-08	87025
2022-01-07	163040
2022-01-06	200566
2022-01-05	230198
2022-01-04	262602
2022-01-03	224597
2022-01-02	168132
2022-01-01	123802
2021-12-31	132800
2021-12-30	113065
2021-12-29	113573
2021-12-28	115085
2021-12-27	112335
2021-12-26	96760
2021-12-25	83142
2021-12-24	106182
2021-12-23	111648
2021-12-22	107162
2021-12-21	102725
2021-12-20	113372
2021-12-19	103994
2021-12-18	103652
2021-12-17	109557
2021-12-16	113487
2021-12-15	124006
2021-12-14	120305
2021-12-13	127520
2021-12-12	118100
2021-12-11	112750
2021-12-10	115012
2021-12-09	127536
2021-12-08	114245
2021-12-07	106607
2021-12-06	92405
2021-12-05	84854
2021-12-04	107000
2021-12-03	120133
2021-12-02	134964
2021-12-01	125440
2021-11-30	119405
2021-11-29	151878
2021-11-28	137526
2021-11-27	138892
2021-11-26	139149
2021-11-25	130282
2021-11-24	128139
2021-11-23	121453
2021-11-22	131423
2021-11-21	119339
2021-11-20	115547
2021-11-19	138925
2021-11-18	120886
2021-11-17	110443
2021-11-16	114920
2021-11-15	132955
2021-11-14	141220
2021-11-13	148887
2021-11-12	143463
2021-11-11	136208
2021-11-10	130682
2021-11-09	127217
2021-11-08	116779
2021-11-07	114691
2021-11-06	100984
2021-11-05	114680
2021-11-04	99757
2021-11-03	108093
2021-11-02	118216
2021-11-01	105193
2021-10-31	83850
2021-10-30	90965
2021-10-29	102847
2021-10-28	104374
2021-10-27	97405
2021-10-26	103002
2021-10-25	98285
2021-10-24	100127
2021-10-23	128919
2021-10-22	132795
2021-10-21	122205
2021-10-20	116747
2021-10-19	124107
2021-10-18	122615
2021-10-17	121440
2021-10-16	113412
2021-10-15	107481
2021-10-14	111126
2021-10-13	110732
2021-10-12	114547
2021-10-11	118722
2021-10-10	122217
2021-10-09	108288
2021-10-08	121631
2021-10-07	123675
2021-10-06	109962
2021-10-05	120434
2021-10-04	111629
2021-10-03	120806
2021-10-02	145261
2021-10-01	190810
2021-09-30	192462
2021-09-29	156903
2021-09-28	137064
2021-09-27	144676
2021-09-26	152885
2021-09-25	159702
2021-09-24	112841
2021-09-23	97140
2021-09-22	113816
2021-09-21	120912
2021-09-20	78168
2021-09-19	71836
2021-09-18	72004
2021-09-17	77393
2021-09-16	76914
2021-09-15	79495
2021-09-14	82385
2021-09-13	82590
2021-09-12	84960
2021-09-11	82033
2021-09-10	92457
2021-09-09	88859
2021-09-08	78805
2021-09-07	88676
2021-09-06	90570
2021-09-05	88757
2021-09-04	88109
2021-09-03	100765
2021-09-02	92328
2021-09-01	88428
2021-08-31	87339
2021-08-30	78949
2021-08-29	77192
2021-08-28	73119
2021-08-27	70888
2021-08-26	75278
2021-08-25	71751
2021-08-24	75635
2021-08-23	70248
2021-08-22	71810
2021-08-21	74233
2021-08-20	68069
2021-08-19	62694
2021-08-18	62948
2021-08-17	70536
2021-08-16	68388
2021-08-15	63937
2021-08-14	59767
2021-08-13	69522
2021-08-12	65991
2021-08-11	71611
2021-08-10	69652
2021-08-09	72179
2021-08-08	68631
2021-08-07	72513
2021-08-06	69172
2021-08-05	69489
2021-08-04	85107
2021-08-03	79106
2021-08-02	71189
2021-08-01	73114
2021-07-31	82510
2021-07-30	73255
2021-07-29	85383
2021-07-28	69353
2021-07-27	50443
2021-07-26	54051
2021-07-25	51975
2021-07-24	53320
2021-07-23	60350
2021-07-22	55295
2021-07-21	52355
2021-07-20	54364
2021-07-19	53693
2021-07-18	48068
2021-07-17	48102
