date	unique_recievers
2022-08-26	688888
2022-08-25	659886
2022-08-24	651989
2022-08-23	644266
2022-08-22	631699
2022-08-21	552053
2022-08-20	600112
2022-08-19	739834
2022-08-18	689091
2022-08-17	651064
2022-08-16	681071
2022-08-15	623595
2022-08-14	554050
2022-08-13	617063
2022-08-12	706681
2022-08-11	728144
2022-08-10	666728
2022-08-09	648885
2022-08-08	655566
2022-08-07	525334
2022-08-06	614372
2022-08-05	690775
2022-08-04	698631
2022-08-03	696399
2022-08-02	667146
2022-08-01	638584
2022-07-31	564286
2022-07-30	604556
2022-07-29	711786
2022-07-28	700040
2022-07-27	647521
2022-07-26	659407
2022-07-25	632635
2022-07-24	534389
2022-07-23	576265
2022-07-22	653479
2022-07-21	689754
2022-07-20	645133
2022-07-19	686013
2022-07-18	614933
2022-07-17	522923
2022-07-16	581097
2022-07-15	664400
2022-07-14	688180
2022-07-13	599150
2022-07-12	661410
2022-07-11	592882
2022-07-10	526523
2022-07-09	579356
2022-07-08	685387
2022-07-07	695358
2022-07-06	690568
2022-07-05	618626
2022-07-04	613920
2022-07-03	552185
2022-07-02	617962
2022-07-01	717178
2022-06-30	703272
2022-06-29	658797
2022-06-28	627393
2022-06-27	625097
2022-06-26	530024
2022-06-25	560241
2022-06-24	653228
2022-06-23	637611
2022-06-22	642602
2022-06-21	651462
2022-06-20	608812
2022-06-19	552117
2022-06-18	658247
2022-06-17	665855
2022-06-16	664847
2022-06-15	735816
2022-06-14	719693
2022-06-13	710801
2022-06-12	560724
2022-06-11	593456
2022-06-10	673031
2022-06-09	665540
2022-06-08	660330
2022-06-07	652549
2022-06-06	656100
2022-06-05	542136
2022-06-04	573518
2022-06-03	682001
2022-06-02	667428
2022-06-01	686572
2022-05-31	688984
2022-05-30	649365
2022-05-29	534583
2022-05-28	581502
2022-05-27	693072
2022-05-26	658383
2022-05-25	705647
2022-05-24	604027
2022-05-23	643344
2022-05-22	539462
2022-05-21	584649
2022-05-20	672560
2022-05-19	665336
2022-05-18	651214
2022-05-17	688458
2022-05-16	668222
2022-05-15	602581
2022-05-14	727189
2022-05-13	729845
2022-05-12	732713
2022-05-11	699128
2022-05-10	721170
2022-05-09	710369
2022-05-08	603421
2022-05-07	615007
2022-05-06	729697
2022-05-05	781126
2022-05-04	618706
2022-05-03	698504
2022-05-02	691934
2022-05-01	632525
2022-04-30	691131
2022-04-29	733654
2022-04-28	702167
2022-04-27	704821
2022-04-26	694113
2022-04-25	686146
2022-04-24	589161
2022-04-23	621097
2022-04-22	676613
2022-04-21	718021
2022-04-20	711532
2022-04-19	702146
2022-04-18	636527
2022-04-17	565384
2022-04-16	607548
2022-04-15	674369
2022-04-14	679792
2022-04-13	687969
2022-04-12	691235
2022-04-11	691757
2022-04-10	559308
2022-04-09	604995
2022-04-08	691503
2022-04-07	683682
2022-04-06	673920
