date	total_gas_fee
2022-07-10	2101.087747
2022-07-09	2907.689284
2022-07-08	3012.663659
2022-07-07	3985.409328
2022-07-06	3402.090638
2022-07-05	3262.220776
2022-07-04	2624.112979
2022-07-03	2103.298574
2022-07-02	1887.7617
2022-07-01	3574.179919
2022-06-30	4757.804346
2022-06-29	4976.362824
2022-06-28	4058.575208
2022-06-27	4355.666177
2022-06-26	3214.955015
2022-06-25	3132.03482
2022-06-24	3815.819481
2022-06-23	4358.624498
2022-06-22	3178.420155
2022-06-21	3573.768609
2022-06-20	2793.831069
2022-06-19	2983.891596
2022-06-18	5040.360875
2022-06-17	3941.862823
2022-06-16	4018.897033
2022-06-15	6507.242519
2022-06-14	5957.987374
2022-06-13	8807.057387
2022-06-12	3412.626136
2022-06-11	3725.494099
2022-06-10	5431.423575
2022-06-09	6532.257817
2022-06-08	6755.242568
2022-06-07	5571.589482
2022-06-06	4995.445844
2022-06-05	5212.673826
2022-06-04	5459.01365
2022-06-03	5973.016906
2022-06-02	6006.002339
2022-06-01	5531.80838
2022-05-31	5248.93265
2022-05-30	3467.075998
2022-05-29	2240.96623
2022-05-28	2225.438603
2022-05-27	4330.132828
2022-05-26	4777.888069
2022-05-25	3561.119791
2022-05-24	3014.974468
2022-05-23	2755.601126
2022-05-22	2385.018712
2022-05-21	2367.513119
2022-05-20	3048.534936
2022-05-19	2843.671164
2022-05-18	2934.269246
2022-05-17	3650.169081
2022-05-16	2743.443609
2022-05-15	2646.160864
2022-05-14	3939.580455
2022-05-13	7826.319444
2022-05-12	21155.125348
2022-05-11	14476.738128
2022-05-10	6103.486002
2022-05-09	6330.30236
2022-05-08	2810.27447
2022-05-07	3294.490201
2022-05-06	5424.069168
2022-05-05	6484.714025
2022-05-04	5048.041227
2022-05-03	6210.063159
2022-05-02	6906.372735
2022-05-01	81747.493962
2022-04-30	4932.134596
2022-04-29	5330.061883
2022-04-28	5448.804119
2022-04-27	5443.776492
2022-04-26	4839.858462
2022-04-25	5594.55491
2022-04-24	3510.842138
2022-04-23	3445.331663
2022-04-22	5752.443217
2022-04-21	6232.939638
2022-04-20	7483.310609
2022-04-19	4386.767256
2022-04-18	3894.660807
2022-04-17	3006.366918
2022-04-16	3773.548939
2022-04-15	4174.605838
2022-04-14	5151.445377
2022-04-13	4853.149611
2022-04-12	4917.488908
2022-04-11	4876.599348
2022-04-10	4403.816407
2022-04-09	3749.205365
2022-04-08	5748.037961
2022-04-07	7287.407289
2022-04-06	6090.201567
2022-04-05	13519.948649
2022-04-04	6549.428272
2022-04-03	5949.876314
2022-04-02	6305.861216
2022-04-01	6737.810808
2022-03-31	5387.723293
2022-03-30	5425.742455
2022-03-29	5020.956331
2022-03-28	9491.674007
2022-03-27	6173.841299
2022-03-26	3356.956898
2022-03-25	4824.857088
2022-03-24	5208.513792
2022-03-23	4006.96515
2022-03-22	4425.406711
2022-03-21	3530.289833
2022-03-20	2850.976455
2022-03-19	3239.634711
2022-03-18	6759.527657
2022-03-17	7221.239129
2022-03-16	4317.314364
2022-03-15	3899.120516
2022-03-14	3497.488249
2022-03-13	3535.026824
2022-03-12	2594.38155
2022-03-11	3299.893808
2022-03-10	3539.727671
2022-03-09	3998.865185
2022-03-08	4800.109572
2022-03-07	4425.69442
2022-03-06	4960.952454
2022-03-05	3761.313501
2022-03-04	4983.688365
2022-03-03	5167.03552
2022-03-02	5619.727324
2022-03-01	6104.056646
2022-02-28	7428.106664
2022-02-27	4587.011263
2022-02-26	5447.88932
2022-02-25	6433.460826
2022-02-24	8945.247049
2022-02-23	9935.231552
2022-02-22	8819.960158
2022-02-21	9088.069084
2022-02-20	7500.098525
2022-02-19	7074.307041
2022-02-18	9595.184303
2022-02-17	7748.348248
2022-02-16	8237.980907
2022-02-15	7729.414507
2022-02-14	6323.1296
2022-02-13	5766.386411
2022-02-12	6661.708657
2022-02-11	7594.663506
2022-02-10	10972.887503
2022-02-09	9469.092612
2022-02-08	8957.799182
2022-02-07	11457.293734
2022-02-06	7528.103781
2022-02-05	13628.258445
2022-02-04	10738.634641
2022-02-03	12051.656487
2022-02-02	14982.708663
2022-02-01	15307.636712
2022-01-31	11886.96295
2022-01-30	12824.109343
2022-01-29	11558.534003
2022-01-28	13758.048801
2022-01-27	15283.154794
2022-01-26	13917.218815
2022-01-25	13903.459039
2022-01-24	14013.31418
2022-01-23	12211.089909
2022-01-22	16293.981141
2022-01-21	18182.715945
2022-01-20	14882.163948
2022-01-19	12636.500452
2022-01-18	12207.467178
2022-01-17	14432.452931
2022-01-16	13079.73237
2022-01-15	13418.881909
2022-01-14	18664.63251
2022-01-13	16461.301925
2022-01-12	19495.385463
2022-01-11	18392.758647
2022-01-10	20877.386112
2022-01-09	15264.773168
2022-01-08	11879.025562
2022-01-07	14991.463539
2022-01-06	13357.220186
2022-01-05	14676.050526
2022-01-04	13243.289967
2022-01-03	10537.854258
2022-01-02	10295.014652
2022-01-01	8173.678752
2021-12-31	9315.933012
2021-12-30	10996.004637
2021-12-29	12660.045145
2021-12-28	10411.691728
2021-12-27	8035.150891
2021-12-26	5718.785211
2021-12-25	7258.630975
2021-12-24	7409.269644
2021-12-23	8583.231725
2021-12-22	7947.916104
2021-12-21	6958.755607
2021-12-20	7284.992227
2021-12-19	6439.495199
2021-12-18	6756.61514
2021-12-17	10099.123801
2021-12-16	10425.109544
2021-12-15	9141.095383
2021-12-14	7990.005956
2021-12-13	8881.745101
2021-12-12	6565.699339
2021-12-11	7728.595102
2021-12-10	9498.383158
2021-12-09	8478.797959
2021-12-08	8060.333937
2021-12-07	9442.821735
2021-12-06	10750.742666
2021-12-05	10216.575274
2021-12-04	14360.449741
2021-12-03	10838.543907
2021-12-02	11669.444267
2021-12-01	13659.035763
2021-11-30	14869.577777
2021-11-29	12196.501364
2021-11-28	11449.814609
2021-11-27	12144.675208
2021-11-26	11379.878561
2021-11-25	12411.629625
2021-11-24	13060.893481
2021-11-23	13693.924927
2021-11-22	14931.938876
2021-11-21	10668.714585
2021-11-20	10437.56727
2021-11-19	12140.165124
2021-11-18	14467.30497
2021-11-17	13499.093484
2021-11-16	14651.75566
2021-11-15	15416.784546
2021-11-14	11392.165309
2021-11-13	13177.298143
2021-11-12	15065.384361
2021-11-11	16195.461256
2021-11-10	17010.628922
2021-11-09	17509.786696
2021-11-08	12894.0644
2021-11-07	10117.634519
2021-11-06	11707.631414
2021-11-05	13693.968418
2021-11-04	14465.059426
2021-11-03	16453.982046
2021-11-02	17655.687803
2021-11-01	16074.767344
2021-10-31	14964.522793
2021-10-30	16363.465563
2021-10-29	17671.280619
2021-10-28	19171.137399
2021-10-27	17164.854759
2021-10-26	12813.841598
2021-10-25	10212.737435
2021-10-24	7643.912497
2021-10-23	6795.407659
2021-10-22	9048.135671
2021-10-21	10046.09338
2021-10-20	8222.214422
2021-10-19	7739.352435
2021-10-18	13205.980255
2021-10-17	7725.038217
