date	total_num_addresses
2023-01-25	922991
2023-01-24	915811
2023-01-23	932335
2023-01-22	863602
2023-01-21	905450
2023-01-20	918882
2023-01-19	935852
2023-01-18	953948
2023-01-17	993453
2023-01-16	971751
2023-01-15	811063
2023-01-14	983318
2023-01-13	1074196
2023-01-12	1050430
2023-01-11	945470
2023-01-10	1150952
2023-01-09	984100
2023-01-08	773840
2023-01-07	807340
2023-01-06	953581
2023-01-05	937729
2023-01-04	924789
2023-01-03	984940
2023-01-02	852672
2023-01-01	720492
2022-12-31	845887
2022-12-30	1071554
2022-12-29	951167
2022-12-28	916269
2022-12-27	865433
2022-12-26	782542
2022-12-25	756854
2022-12-24	760320
2022-12-23	893033
2022-12-22	905153
2022-12-21	929009
2022-12-20	953831
2022-12-19	966009
2022-12-18	806020
2022-12-17	973490
2022-12-16	880665
2022-12-15	916384
2022-12-14	929316
2022-12-13	975737
2022-12-12	909723
2022-12-11	776310
2022-12-10	937078
2022-12-09	945942
2022-12-08	886391
2022-12-07	923181
2022-12-06	945078
2022-12-05	968963
2022-12-04	854339
2022-12-03	942108
2022-12-02	971482
2022-12-01	1035543
2022-11-30	941581
2022-11-29	964873
2022-11-28	940694
2022-11-27	857686
2022-11-26	893310
2022-11-25	981952
2022-11-24	997933
2022-11-23	1061671
2022-11-22	928080
2022-11-21	978810
2022-11-20	1019510
2022-11-19	1109770
2022-11-18	971978
2022-11-17	885270
2022-11-16	955242
2022-11-15	997707
2022-11-14	948108
2022-11-13	897887
2022-11-12	927792
2022-11-11	977570
2022-11-10	1053637
2022-11-09	1076548
2022-11-08	1059839
2022-11-07	919351
2022-11-06	825050
2022-11-05	933416
2022-11-04	950915
2022-11-03	1016762
2022-11-02	873292
2022-11-01	963108
2022-10-31	972865
2022-10-30	833298
2022-10-29	884714
2022-10-28	942825
2022-10-27	901087
2022-10-26	1053033
2022-10-25	830671
2022-10-24	923403
2022-10-23	808800
2022-10-22	835674
2022-10-21	929251
2022-10-20	894481
2022-10-19	925521
2022-10-18	887436
2022-10-17	876676
2022-10-16	767400
2022-10-15	863932
2022-10-14	983980
2022-10-13	949993
2022-10-12	876831
2022-10-11	902571
2022-10-10	917604
2022-10-09	776456
2022-10-08	820789
2022-10-07	946342
2022-10-06	944081
2022-10-05	894638
2022-10-04	938192
2022-10-03	989556
2022-10-02	841556
2022-10-01	884590
2022-09-30	993821
2022-09-29	887558
2022-09-28	867381
2022-09-27	955761
2022-09-26	932798
2022-09-25	795079
2022-09-24	814336
2022-09-23	987921
2022-09-22	866821
2022-09-21	915105
2022-09-20	968908
2022-09-19	916643
2022-09-18	779131
2022-09-17	936221
2022-09-16	937515
2022-09-15	957592
2022-09-14	987889
2022-09-13	950171
2022-09-12	987756
2022-09-11	862582
2022-09-10	897672
2022-09-09	1036225
2022-09-08	934179
2022-09-07	961941
2022-09-06	931166
2022-09-05	939069
2022-09-04	774346
2022-09-03	945920
2022-09-02	993737
2022-09-01	969780
2022-08-31	925078
2022-08-30	952599
2022-08-29	940481
2022-08-28	772045
2022-08-27	844000
2022-08-26	931907
2022-08-25	920757
2022-08-24	923697
2022-08-23	936789
2022-08-22	886312
2022-08-21	769158
2022-08-20	844049
2022-08-19	999569
2022-08-18	1014144
2022-08-17	913886
2022-08-16	1032647
2022-08-15	918182
2022-08-14	819073
2022-08-13	828340
2022-08-12	961031
2022-08-11	1012662
2022-08-10	1033613
2022-08-09	953042
2022-08-08	923946
2022-08-07	712883
2022-08-06	876047
