date	average_transaction_value
2020-06-10	570008019.92535194
2020-06-09	691910167.946274108
2020-06-08	718128494.93314877
2020-06-07	470980416.882986737
2020-06-06	693801423.685882397
2020-06-05	912604656.775677115
2020-06-04	755607237.262143104
2020-06-03	1625656710.331151494
2020-06-02	1740009759.894840604
2020-06-01	1234900123.447656909
2020-05-31	841108769.269324077
2020-05-30	876688336.717192982
2020-05-29	1135538632.193945197
2020-05-28	624142114.055951887
2020-05-27	718336030.771107899
2020-05-26	2184992096.207337516
2020-05-25	805378126.254168448
2020-05-24	919943196.289072777
2020-05-23	678507629.639463059
2020-05-22	1024007930.076257184
2020-05-21	1539439317.449690302
2020-05-20	1527892871.259170306
2020-05-19	954095611.748867812
2020-05-18	973398207.871821756
2020-05-17	804856192.248582121
2020-05-16	334914247.375484966
2020-05-15	864070021.367002314
2020-05-14	738294444.978584704
2020-05-13	1450675590.581217378
2020-05-12	1347953203.044224013
2020-05-11	1375256182.284307317
2020-05-10	946080836.007544582
2020-05-09	1205593176.335819504
2020-05-08	1323368370.172402102
2020-05-07	1058312156.160852467
2020-05-06	873363258.279736422
2020-05-05	689539013.861593178
2020-05-04	1245967915.142143357
2020-05-03	1060656536.858662065
2020-05-02	775662239.903043342
2020-05-01	835450176.550286108
2020-04-30	980206520.60585998
2020-04-29	6352962194.726129259
2020-04-28	1960337198.435035553
2020-04-27	3675132916.54340944
2020-04-26	1448913604.809649282
2020-04-25	1118728721.331357099
2020-04-24	1028601002.760595601
2020-04-23	1996003456.800376921
2020-04-22	1993550325.94625531
2020-04-21	1598990462.539424099
2020-04-20	2135644599.558414848
2020-04-19	1945466143.307006035
2020-04-18	908491507.544631687
2020-04-17	1244215219.351953222
2020-04-16	1435227477.045659278
2020-04-15	1083828193.229993819
2020-04-14	1014080120.778983767
2020-04-13	1341857774.894180412
2020-04-12	1618663098.617754087
2020-04-11	852201904.300639205
2020-04-10	1677433673.39831181
2020-04-09	1118265843.51393628
2020-04-08	1506200704.094265774
2020-04-07	1564122314.570346206
2020-04-06	1598532371.115142137
2020-04-05	1149582411.793369593
2020-04-04	700797275.855259027
2020-04-03	1088859021.814141125
2020-04-02	1357559003.708519954
2020-04-01	1229743274.86680286
2020-03-31	1744010573.509880501
2020-03-30	1108134289.499915517
2020-03-29	1109034305.267917219
2020-03-28	1834103950.307177974
2020-03-27	1030142412.9671179
2020-03-26	1061219477.107463913
2020-03-25	1854390900.167103438
2020-03-24	1854683817.197167812
2020-03-23	2204785592.111860415
2020-03-22	3136230035.447726615
2020-03-21	2026969861.084098705
2020-03-20	2796285988.442712361
2020-03-19	2337073065.50899137
2020-03-18	2701940375.311363545
2020-03-17	1637273814.212495046
2020-03-16	74414569.378017561
2020-03-15	120361542.174670077
2020-03-14	2522479085.508693997
2020-03-13	3837478050.378346003
2020-03-12	4532006738.532514053
2020-03-11	1289777391.018651536
2020-03-10	1720065084.789810958
2020-03-09	1672816158.182066125
2020-03-08	1136086982.988781409
2020-03-07	610197848.858314513
2020-03-06	924950247.518944356
2020-03-05	1188555038.851577757
2020-03-04	753265032.759521095
2020-03-03	1279820454.376527717
2020-03-02	1458329444.718322655
2020-03-01	633748280.198563218
2020-02-29	984260856.348127108
2020-02-28	2038942720.207264038
2020-02-27	2415063490.348652118
2020-02-26	1498912667.522182849
2020-02-25	1243829043.271685306
2020-02-24	985059518.184163996
2020-02-23	69487502.650044955
2020-02-22	1183211832.078595483
2020-02-21	1030785847.630710042
2020-02-20	1831066292.260032879
2020-02-19	1493871861.438228056
2020-02-18	1335866995.513659724
2020-02-17	2125190440.21853405
2020-02-16	2782854650.300320037
2020-02-15	1487207848.142339457
2020-02-14	984598779.227305644
2020-02-13	1441838464.344084113
2020-02-12	1637737362.918440044
2020-02-11	1042262628.932417532
2020-02-10	1179923564.125719582
2020-02-09	1122941138.892998955
2020-02-08	1621945483.387439015
2020-02-07	1457429029.675771046
2020-02-06	1767299153.449046714
2020-02-05	2384780179.060631768
2020-02-04	1116935156.331321405
2020-02-03	1026808076.385613609
2020-02-02	566897950.726054195
2020-02-01	752977610.120509692
2020-01-31	1290357345.311014396
2020-01-30	1642723389.719848733
2020-01-29	1972559434.717623159
2020-01-28	1142275009.885867796
2020-01-27	1871420498.32953218
2020-01-26	1738147526.005890632
2020-01-25	962917516.681711261
2020-01-24	1602351664.256958909
2020-01-23	1443261190.437823834
2020-01-22	1596446005.568180625
2020-01-21	1290469989.518090471
2020-01-20	1158678967.936040059
2020-01-19	1912391716.662299854
2020-01-18	717506199.426460176
2020-01-17	2944444359.801172246
2020-01-16	4525241582.946756091
2020-01-15	6795230744.575449627
2020-01-14	5764542037.033317196
2020-01-13	760774746.933702078
2020-01-12	3451453306.317101858
2020-01-11	3217715629.075615519
2020-01-10	1911784640.63375894
2020-01-09	1599293440.434194209
2020-01-08	314217591.915408494
2020-01-07	2975047653.319302698
2020-01-06	4667474398.909065252
2020-01-05	3419790444.370520311
2020-01-04	1697774187.96865665
2020-01-03	1960792739.094867639
2020-01-02	1534282462.828244275
2020-01-01	1250212144.559707169
2019-12-31	2213480743.008483446
2019-12-30	4139244493.511700244
2019-12-29	2604846313.474659401
2019-12-28	2885095941.960209107
2019-12-27	1853349992.521482083
2019-12-26	3626341951.13803465
2019-12-25	1322148711.977137051
2019-12-24	1355741956.873620014
2019-12-23	937860705.907283682
2019-12-22	701001535.092968198
2019-12-21	770061329.713097858
2019-12-20	2074579724.223193178
2019-12-19	3351595863.708864331
2019-12-18	3110049646.737598394
2019-12-17	2313147035.208410792
2019-12-16	2947264248.944555845
2019-12-15	1129464012.983228013
2019-12-14	1642285465.947322971
2019-12-13	880238130.897951513
2019-12-12	1466432915.039068485
2019-12-11	1419123545.315009982
2019-12-10	1347045029.69640891
2019-12-09	1338468780.913624928
2019-12-08	1130219548.946419467
2019-12-07	1979461174.785875311
2019-12-06	3152744524.307866608
2019-12-05	2013303807.292804387
2019-12-04	1889140366.945599152
2019-12-03	1264790893.876291039
2019-12-02	1535604185.936960953
2019-12-01	1467661627.388118626
2019-11-30	836580681.633279678
2019-11-29	2034518041.754851977
2019-11-28	3172445909.456052447
2019-11-27	4506915764.685237361
2019-11-26	2915525210.249554458
2019-11-25	3345257138.340530771
2019-11-24	1688736421.315040756
2019-11-23	1762455089.908903302
2019-11-22	3290135714.132487231
2019-11-21	1858142422.762965576
2019-11-20	799044422.80981564
2019-11-19	886592357.16856399
2019-11-18	831605360.534585554
2019-11-17	1336530010.883744543
2019-11-16	776580141.45568594
2019-11-15	1869176313.985975164
2019-11-14	1800042027.98694634
2019-11-13	1683620298.821693292
2019-11-12	501072075.256601283
2019-11-11	1226719955.017158855
2019-11-10	1146213238.784599971
2019-11-09	558377411.455969483
2019-11-08	958219676.591409091
2019-11-07	1164590421.394774498
2019-11-06	662966448.685004667
2019-11-05	1198415336.517693181
2019-11-04	1307841795.371208145
2019-11-03	847009150.223115371
2019-11-02	1465690826.650336974
2019-11-01	1948865640.391845074
2019-10-31	1360330647.17936309
2019-10-30	1545523226.854159059
2019-10-29	1016044678.961204784
2019-10-28	1997073868.140146914
2019-10-27	803898296.297214041
2019-10-26	2040022822.01288526
2019-10-25	1952792674.676993022
2019-10-24	1232298995.880101199
2019-10-23	1056567923.536721617
2019-10-22	1616102058.07002497
2019-10-21	1161819241.449854227
2019-10-20	1020883074.971486436
2019-10-19	708314439.496885029
2019-10-18	260262016.034948372
2019-10-17	1369633207.426637958
2019-10-16	1683416558.527824917
2019-10-15	1569063261.135541178
2019-10-14	1638849093.874521184
2019-10-13	1664589663.390805203
2019-10-12	986370993.593601426
2019-10-11	1213922795.273386034
2019-10-10	1414492088.500747538
2019-10-09	1279572747.521536292
2019-10-08	4548159851.820661249
2019-10-07	2823797107.064686152
2019-10-06	1265610652.826584144
2019-10-05	796586058.685304781
2019-10-04	1494995358.392851054
2019-10-03	1420129942.610831837
2019-10-02	1733360532.266565164
2019-10-01	1815146801.87198571
2019-09-30	1612968692.246447679
2019-09-29	1085175564.556908836
2019-09-28	3041823372.268319302
2019-09-27	1926472590.990844078
2019-09-26	2094310524.783549501
2019-09-25	744894254.679853268
2019-09-24	368645483.434273397
2019-09-23	711359514.697008661
2019-09-22	440123136.45291519
2019-09-21	1092200841.687607082
2019-09-20	2093146094.299959403
2019-09-19	3983773573.24476726
2019-09-18	3356619184.280913469
2019-09-17	2610955165.822797289
2019-09-16	1810635749.494876463
2019-09-15	1929120747.21259964
2019-09-14	2137007676.229924059
2019-09-13	1453757308.062677773
2019-09-12	746881196.184951395
2019-09-11	1146680596.189875519
2019-09-10	784163474.998674046
2019-09-09	1167019060.194925813
2019-09-08	1201668772.536418331
2019-09-07	1188297641.952077345
2019-09-06	1773055815.440115108
2019-09-05	1682210502.78532218
2019-09-04	4737824983.787488285
2019-09-03	1219015475.664598317
2019-09-02	817206508.395583377
2019-09-01	1077228961.979303501
2019-08-31	1378819558.471339997
2019-08-30	1151547186.098972716
2019-08-29	1160664712.734324227
2019-08-28	1207046942.726242644
2019-08-27	1061880260.43283859
2019-08-26	910365915.609349567
2019-08-25	853832022.902420203
2019-08-24	614641341.785102533
2019-08-23	1110530547.019276666
2019-08-22	1792289305.957726661
2019-08-21	1024751463.45891668
2019-08-20	927096000.394373149
2019-08-19	860352770.966024848
2019-08-18	865999207.358608831
2019-08-17	814029277.238898433
2019-08-16	1010841209.923540366
2019-08-15	848105410.543858912
2019-08-14	913105822.700872002
2019-08-13	2312735255.614237588
2019-08-12	1094991277.157794418
2019-08-11	868380963.318890179
2019-08-10	1154309268.751294253
2019-08-09	859522161.88558687
2019-08-08	78359636.342598947
2019-08-07	20681294.871219745
2019-08-06	708695133.017246619
2019-08-05	680952422.3515625
2019-08-04	321016036.830525974
2019-08-03	157404846.443756635
2019-08-02	1002233383.767765258
2019-08-01	532585021.394490614
2019-07-31	1073968646.238207058
2019-07-30	986399726.32622427
2019-07-29	999254310.932247746
2019-07-28	694997622.98673947
2019-07-27	569186841.844330191
2019-07-26	917128148.095623247
2019-07-25	865009912.204167821
2019-07-24	908180207.321420337
2019-07-23	274576782.679809524
2019-07-22	279941792.925315018
2019-07-21	588183188.666161369
2019-07-20	611138867.900272766
2019-07-19	821088888.087541771
2019-07-18	831783823.189922481
2019-07-17	1267764077.584461797
2019-07-16	950597645.156043672
2019-07-15	1390312458.406891544
2019-07-14	817401927.809344952
2019-07-13	813741660.992624095
2019-07-12	1161647600.511380234
2019-07-11	667931109.16142472
2019-07-10	653945059.457192462
2019-07-09	846810168.532316777
2019-07-08	854166443.183483925
2019-07-07	549152081.179683317
2019-07-06	682595980.124052596
2019-07-05	906849953.808562938
2019-07-04	933465939.061095856
2019-07-03	1026675963.12767869
2019-07-02	1598260981.245135812
2019-07-01	1198394684.713674829
2019-06-30	796145536.395134362
2019-06-29	980028644.621593464
2019-06-28	996959641.67884712
2019-06-27	1615969545.71007224
2019-06-26	1756052015.319418493
2019-06-25	1064026243.555813234
2019-06-24	1058181628.471317829
2019-06-23	584203473.863045866
2019-06-22	924037049.437689063
2019-06-21	1126073137.70122225
2019-06-20	963419627.435693435
2019-06-19	1347909060.355984443
2019-06-18	1838435681.682092726
2019-06-17	1386569784.043034636
2019-06-16	883202743.020913594
2019-06-15	815365137.439940127
2019-06-14	1205788659.152380292
2019-06-13	1910783863.499331786
2019-06-12	1541374211.212615221
2019-06-11	1623870390.470544756
2019-06-10	1459112224.5267639
2019-06-09	1354362849.591149519
2019-06-08	930545864.201980831
2019-06-07	1504534236.805102764
2019-06-06	1616634244.741438356
2019-06-05	1595540280.553548896
2019-06-04	1520493179.815636442
2019-06-03	3232991257.609735023
2019-06-02	1555732094.87367479
2019-06-01	1461984217.782518407
2019-05-31	1643901362.340070442
2019-05-30	1630949248.736597639
2019-05-29	2343548194.140562713
2019-05-28	2009360876.202932727
2019-05-27	1884996663.542068507
2019-05-26	1812798000.156505753
2019-05-25	2169792425.279914629
2019-05-24	2179507130.651132988
2019-05-23	2290456138.207910522
2019-05-22	2416254399.604503266
2019-05-21	1991204957.136152834
2019-05-20	3228905759.565553236
2019-05-19	2815783678.358674142
2019-05-18	3219238862.408564409
2019-05-17	1711024647.025857081
2019-05-16	2843480275.678016316
2019-05-15	6627702795.850174014
2019-05-14	1958689060.89426805
2019-05-13	2335100513.820607176
2019-05-12	1816647555.383097318
2019-05-11	2325974892.694784082
2019-05-10	2015619383.221468814
2019-05-09	2154633619.895852004
2019-05-08	2818493023.53250336
2019-05-07	4106794294.200844883
2019-05-06	1871631376.02973773
2019-05-05	1784900669.934542734
2019-05-04	1597113545.072439507
2019-05-03	3170461409.29305497
2019-05-02	2986791993.070128404
2019-05-01	1693916475.666507275
2019-04-30	4201381347.281832399
2019-04-29	8109655020.387010753
2019-04-28	2702117814.292596648
2019-04-27	3519397377.072078739
2019-04-26	4880014625.586240626
2019-04-25	1513602066.367433807
2019-04-24	6319127082.741691003
2019-04-23	1968997992.865798414
