date	total_num_addresses
2019-08-25	22278
2019-08-24	20571
2019-08-23	21734
2019-08-22	23289
2019-08-21	24636
2019-08-20	22029
2019-08-19	23410
2019-08-18	21732
2019-08-17	27600
2019-08-16	28399
2019-08-15	29651
2019-08-14	25975
2019-08-13	20597
2019-08-12	23914
2019-08-11	23166
2019-08-10	20721
2019-08-09	21280
2019-08-08	21560
2019-08-07	23476
2019-08-06	21638
2019-08-05	26439
2019-08-04	20250
2019-08-03	20946
2019-08-02	20826
2019-08-01	21466
2019-07-31	20527
2019-07-30	21324
2019-07-29	17311
2019-07-28	16372
2019-07-27	17583
2019-07-26	19038
2019-07-25	16735
2019-07-24	19401
2019-07-23	14047
2019-07-22	17603
2019-07-21	14584
2019-07-20	11238
2019-07-19	14629
2019-07-18	21550
2019-07-17	20187
2019-07-16	19656
2019-07-15	18952
2019-07-14	18062
2019-07-13	16692
2019-07-12	20136
2019-07-11	17707
2019-07-10	18917
2019-07-09	17766
2019-07-08	20808
2019-07-07	18770
2019-07-06	18955
2019-07-05	16764
2019-07-04	19521
2019-07-03	17541
2019-07-02	19016
2019-07-01	17234
2019-06-30	17488
2019-06-29	17106
2019-06-28	20682
2019-06-27	19947
2019-06-26	19103
2019-06-25	20976
2019-06-24	18885
2019-06-23	18616
2019-06-22	20193
2019-06-21	19572
2019-06-20	19322
2019-06-19	18827
2019-06-18	20369
2019-06-17	19647
2019-06-16	17674
2019-06-15	17221
2019-06-14	18899
2019-06-13	16839
2019-06-12	18825
2019-06-11	16258
2019-06-10	15831
2019-06-09	16056
2019-06-08	15746
2019-06-07	18143
2019-06-06	16230
2019-06-05	16665
2019-06-04	18888
2019-06-03	17685
2019-06-02	17583
2019-06-01	18260
2019-05-31	18538
2019-05-30	17953
2019-05-29	18107
2019-05-28	21820
2019-05-27	17918
2019-05-26	17206
2019-05-25	16552
2019-05-24	18519
2019-05-23	17659
2019-05-22	17231
2019-05-21	19658
2019-05-20	18797
2019-05-19	17234
2019-05-18	17622
2019-05-17	21876
2019-05-16	20236
2019-05-15	20922
2019-05-14	17388
2019-05-13	18765
2019-05-12	17790
2019-05-11	18216
2019-05-10	15839
2019-05-09	17923
2019-05-08	16442
2019-05-07	16781
2019-05-06	15512
2019-05-05	15637
2019-05-04	16324
2019-05-03	19273
2019-05-02	21969
2019-05-01	20871
2019-04-30	19995
2019-04-29	16889
2019-04-28	18147
2019-04-27	17426
2019-04-26	20683
2019-04-25	18145
2019-04-24	19216
2019-04-23	19876
2019-04-22	17779
2019-04-21	16085
2019-04-20	16107
2019-04-19	19829
2019-04-18	19922
2019-04-17	16835
2019-04-16	17511
2019-04-15	17557
2019-04-14	16964
2019-04-13	18411
2019-04-12	18293
2019-04-11	18304
2019-04-10	17770
2019-04-09	17102
2019-04-08	19828
2019-04-07	18003
2019-04-06	16403
2019-04-05	18350
2019-04-04	17732
