date	unique_recievers
2022-07-13	226511
2022-07-12	232836
2022-07-11	225408
2022-07-10	249389
2022-07-09	247386
2022-07-08	258289
2022-07-07	261819
2022-07-06	257506
2022-07-05	237877
2022-07-04	232516
2022-07-03	229071
2022-07-02	263927
2022-07-01	263021
2022-06-30	232750
2022-06-29	232728
2022-06-28	226856
2022-06-27	237980
2022-06-26	202410
2022-06-25	213886
2022-06-24	234624
2022-06-23	221416
2022-06-22	234885
2022-06-21	220191
2022-06-20	231217
2022-06-19	222577
2022-06-18	259616
2022-06-17	244135
2022-06-16	263605
2022-06-15	273115
2022-06-14	285966
2022-06-13	288743
2022-06-12	237694
2022-06-11	252434
2022-06-10	259603
2022-06-09	238406
2022-06-08	228681
2022-06-07	237906
2022-06-06	239729
2022-06-05	220882
2022-06-04	224918
2022-06-03	242313
2022-06-02	243401
2022-06-01	251561
2022-05-31	256343
2022-05-30	232263
2022-05-29	247444
2022-05-28	241516
2022-05-27	254717
2022-05-26	248963
2022-05-25	253097
2022-05-24	243494
2022-05-23	246577
2022-05-22	224892
2022-05-21	237980
2022-05-20	246663
2022-05-19	240360
2022-05-18	269083
2022-05-17	263819
2022-05-16	266136
2022-05-15	253551
2022-05-14	278251
2022-05-13	315073
2022-05-12	311488
2022-05-11	289888
2022-05-10	315479
2022-05-09	296442
2022-05-08	269830
2022-05-07	259783
2022-05-06	291881
2022-05-05	302257
2022-05-04	278044
2022-05-03	265172
2022-05-02	270152
2022-05-01	289415
2022-04-30	286271
2022-04-29	290326
2022-04-28	291876
2022-04-27	303700
2022-04-26	288612
2022-04-25	282900
2022-04-24	253443
2022-04-23	257089
2022-04-22	294257
2022-04-21	285799
2022-04-20	279672
2022-04-19	280056
2022-04-18	267322
2022-04-17	241825
2022-04-16	253620
2022-04-15	263680
2022-04-14	258225
2022-04-13	262737
2022-04-12	268548
2022-04-11	269381
2022-04-10	271807
2022-04-09	269370
2022-04-08	280136
2022-04-07	288099
2022-04-06	284712
2022-04-05	284020
2022-04-04	276899
2022-04-03	272647
2022-04-02	280757
2022-04-01	296663
2022-03-31	302042
2022-03-30	287482
2022-03-29	309749
2022-03-28	307144
2022-03-27	275746
2022-03-26	266814
2022-03-25	284554
2022-03-24	287814
2022-03-23	277832
2022-03-22	272649
2022-03-21	259166
2022-03-20	255803
2022-03-19	269302
2022-03-18	277125
2022-03-17	290857
2022-03-16	270320
2022-03-15	278348
2022-03-14	264030
2022-03-13	245400
2022-03-12	262741
2022-03-11	260161
2022-03-10	258688
2022-03-09	275890
2022-03-08	283439
2022-03-07	295663
2022-03-06	272620
2022-03-05	255015
2022-03-04	280033
2022-03-03	282439
2022-03-02	288247
2022-03-01	298115
2022-02-28	277580
2022-02-27	262152
2022-02-26	280099
2022-02-25	276866
2022-02-24	296882
2022-02-23	292319
2022-02-22	277652
2022-02-21	269543
2022-02-20	271785
2022-02-19	268707
2022-02-18	273480
2022-02-17	277205
2022-02-16	280875
2022-02-15	288497
2022-02-14	275166
2022-02-13	265601
2022-02-12	262809
2022-02-11	298437
2022-02-10	308796
2022-02-09	309230
2022-02-08	300550
2022-02-07	297129
2022-02-06	302517
2022-02-05	340064
2022-02-04	297576
2022-02-03	284311
2022-02-02	297829
2022-02-01	310514
2022-01-31	302872
2022-01-30	288667
2022-01-29	294091
2022-01-28	288096
2022-01-27	277056
2022-01-26	295023
2022-01-25	304793
2022-01-24	290309
2022-01-23	281417
2022-01-22	301762
2022-01-21	313430
2022-01-20	313437
2022-01-19	322251
2022-01-18	295864
2022-01-17	304613
2022-01-16	302356
2022-01-15	308174
2022-01-14	303878
2022-01-13	334212
2022-01-12	313329
2022-01-11	315835
2022-01-10	280822
2022-01-09	280943
2022-01-08	313301
2022-01-07	309254
2022-01-06	326249
2022-01-05	338404
2022-01-04	323961
2022-01-03	316066
2022-01-02	291480
2022-01-01	303859
2021-12-31	316345
2021-12-30	326523
2021-12-29	302662
2021-12-28	327927
2021-12-27	337025
2021-12-26	307468
2021-12-25	295155
2021-12-24	318471
2021-12-23	331336
2021-12-22	315845
2021-12-21	329978
2021-12-20	305569
2021-12-19	290170
2021-12-18	303721
2021-12-17	352650
2021-12-16	312282
2021-12-15	337983
2021-12-14	335439
2021-12-13	323571
2021-12-12	324218
2021-12-11	312700
2021-12-10	322061
2021-12-09	319271
2021-12-08	346296
2021-12-07	341059
2021-12-06	308688
2021-12-05	287320
2021-12-04	313973
2021-12-03	312432
2021-12-02	334038
2021-12-01	331531
2021-11-30	350831
2021-11-29	334862
2021-11-28	296397
2021-11-27	318558
2021-11-26	332731
2021-11-25	342455
2021-11-24	353124
2021-11-23	335521
2021-11-22	313213
2021-11-21	319647
2021-11-20	313092
2021-11-19	322697
2021-11-18	331762
2021-11-17	333101
2021-11-16	345151
2021-11-15	344220
2021-11-14	344828
2021-11-13	353437
2021-11-12	350061
2021-11-11	347407
2021-11-10	366468
2021-11-09	366520
2021-11-08	374095
2021-11-07	368976
2021-11-06	363439
2021-11-05	380000
2021-11-04	387168
2021-11-03	406990
2021-11-02	399098
2021-11-01	382878
2021-10-31	368492
2021-10-30	409581
2021-10-29	443999
2021-10-28	435249
2021-10-27	381381
2021-10-26	374089
2021-10-25	352256
2021-10-24	333394
2021-10-23	319783
2021-10-22	333442
2021-10-21	345632
2021-10-20	341064
2021-10-19	317793
2021-10-18	317941
2021-10-17	288968
2021-10-16	324458
2021-10-15	333660
2021-10-14	320339
2021-10-13	302659
2021-10-12	303571
2021-10-11	292340
2021-10-10	278935
2021-10-09	315057
2021-10-08	336389
2021-10-07	351617
2021-10-06	417705
2021-10-05	304808
2021-10-04	276227
2021-10-03	278786
2021-10-02	277752
2021-10-01	340795
2021-09-30	284743
2021-09-29	274797
2021-09-28	278730
2021-09-27	276217
2021-09-26	254252
2021-09-25	266575
2021-09-24	281447
2021-09-23	299638
2021-09-22	284300
2021-09-21	277421
2021-09-20	280753
2021-09-19	264441
2021-09-18	286741
2021-09-17	281303
2021-09-16	302158
2021-09-15	304343
2021-09-14	311565
2021-09-13	281263
2021-09-12	297693
2021-09-11	292711
2021-09-10	301040
2021-09-09	307346
2021-09-08	303824
2021-09-07	324875
2021-09-06	298928
2021-09-05	282716
2021-09-04	296486
2021-09-03	297283
2021-09-02	326759
2021-09-01	323099
2021-08-31	310592
2021-08-30	295897
2021-08-29	277834
2021-08-28	285788
2021-08-27	280893
