address	balance
0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0	231016752129222387706255
0xf3b0073e3a7f747c7a38b36b805247b222c302a3	195845629722357489261802
0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28	187068195823204932994323
0x49048044d57e1c92a77f79988d21fa8faf74e97e	177717836866411216017129
0x9e927c02c9eadae63f5efb0dd818943c7262fb8e	177226172365082007793767
0xe25a329d385f77df5d4ed56265babe2b99a5436e	176410952998697618834822
0x8484ef722627bf18ca5ae6bcf031c23e6e922b30	174980316499901265636140
0x32400084c286cf3e17e7b677ea9583e60a000324	172389654752119353640396
0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4	169032003307032334778407
0x7a95f1554ea2e36ed297b70e70c8b45a33b53095	168374311723587108189421
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9	162034343113247593314478
0x0e58e8993100f1cbe45376c410f97f4893d9bfcd	161846752643997968888604
0x15c22df3e71e7380012668fb837c537d0f8b38a1	159442227368594423558371
0x2f2d854c1d6d5bb8936bb85bc07c28ebb42c9b10	155701972234416047811998
0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d	152550011764088797676144
0xfd898a0f677e97a9031654fc79a27cb5e31da34a	150000100282942999676670
0xb8cda067fabedd1bb6c11c626862d7255a2414fe	150000001421708287906860
0x701c484bfb40ac628afa487b6082f084b14af0bd	150000001076352346751170
0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9	150000000220337386464302
0xb20411c403687d1036e05c8a7310a0f218429503	150000000155134539684986
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f	150000000093078976098007
0xba18ded5e0d604a86428282964ae0bb249ceb9d0	150000000062615377540232
0xb9fa6e54025b4f0829d8e1b42e8b846914659632	150000000007377660040232
0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d	150000000007377377640232
0x8d95842b0bca501446683be598e12f1c616770c1	143012057004999710718845
0x35aeed3aa9657abf8b847038bb591b51e1e4c69f	141871703298847076187413
0xb93d8596ac840816bd366dc0561e8140afd0d1cb	139701329293826219581029
0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6	135738061361683550113924
0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6	135283677007863934528286
0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9	135188026185242931499803
0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4	133346665548368815745861
0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1	132432537838805993685685
0xd5268a476aadd1a6729df5b3e5e8f2c1004139af	130876361038353992139847
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5	130643403338616271011243
0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b	129392271335790918625800
0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62	129392171370790918625800
0x595faf77e533a5cd30ab5859c9a0116de8bad8db	129392171365790918625800
0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce	129392171359790918625800
0xf481b7fab9f5d0e74f21ae595a749634fb053619	129231422168920508906882
0xa7c0d36c4698981fab42a7d8c783674c6fe2592d	128280016270140296601000
0x7d6149ad9a573a6e2ca6ebf7d4897c1b766841b4	125000426863578717755791
0x28c6c06298d514db089934071355e5743bf21d60	121325472270707376135082
0x79f67f689b9925710d4dda2a39d680e9cea61c81	121198181962769801205445
0x7f1502605a2f2cc01f9f4e7dd55e549954a8cd0c	120874384353871532194383
0x368d43c23843ca9b49dc861d80251bda6a090367	120707729974128223479964
0x2d1566722288be5525b548a642c98b546f116aa0	120707710822831556416400
0xb4f4317b7885de16305d1303570879c21f378255	120707710798831556416400
0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042	120707710793461114258247
0xf443864ba5d5361bbc54298551067194f980a635	120707710788915341591212
0x84bf16e7675cee22d0e0302913ccf58b45333ddf	120707710788831556416400
0x0548f59fee79f8832c299e01dca5c76f034f558e	117410328267149362167113
0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3	116005513639574771433437
0x376c3e5547c68bc26240d8dcc6729fff665a4448	114939000010007777777777
0xa160cdab225685da1d56aa342ad8841c3b53f291	112200000000000000000000
0x558553d54183a8542f7832742e7b4ba9c33aa1e6	110000752607645848721750
0x999e77c988c4c1451d3b1c104a6cca7813a9946e	108796632443792290753979
0x084ef8564b4f75a70b7ad5e8aabf73edac005397	108544044818409804698400
0xcac9c634b4464efe71a9a5910edba06686baf457	108532917507676136273000
0x04b7f4195595d8132dd8249cc8dc7e79a6ae772b	108532917390773136273000
0xff2ac8c5834a7585fcc97edb8ba2431c4beab487	108532917312676136273000
0x4ed97d6470f5121a8e02498ea37a50987da0eec0	108532917307676136273000
0xa90aa5a93fa074de79306e44596109dc53e01410	108208024223983306446624
0x6e414cfad874d8ee716ea0299d40011207c907b8	108205266433622294898800
0x19bf56fca395a600c20f732b05757f30ad24a719	108205266321697294898800
0xfcd159d0fef5b1003e10d91a5b79d52bbb8cd05d	108054424442820330287200
0x8ae880b5d35305da48b63ce3e52b22d17859f293	107708244464714488200095
0xa463597d49f54fe6a811fb894cbd67c7f92852b0	107686266572728349349000
0x835678a611b28684005a5e2233695fb6cbbb0007	107412987010981309387528
0x0ef3794802b55bc4464114c3df550430b53a3506	107147824013590490000000
0x5a710a3cdf2af218740384c52a10852d8870626a	107141167752610000000000
0x85ce6d7989c8133c31c8fab6a2d2c48a9d9273a1	107093333074739896687811
0xbed96d0840201011df1467379a5d311e0040073a	103744759505953556500000
0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc	102002994671997000000000
