date	average_transaction_value
2022-04-23	22299680693486.617382661
2022-04-22	22545865876354.244679879
2022-04-21	21821490650290.771998961
2022-04-20	36233464306051.930398341
2022-04-19	21734885052372.175199888
2022-04-18	23930631493497.11358885
2022-04-17	18841268809876.973601356
2022-04-16	43565762807305.17757187
2022-04-15	38887463713565.71517273
2022-04-14	41855451461789.018745201
2022-04-13	31607099296160.82261097
2022-04-12	39358105609280.234973416
2022-04-11	26321959907702.024677733
2022-04-10	24203707861855.727223525
2022-04-09	22658327833170.328278545
2022-04-08	23823538554043.714049515
2022-04-07	28314803216778.182849076
2022-04-06	44878324929553.738373358
2022-04-05	55317670559320.848507114
2022-04-04	51820586900830.54312808
2022-04-03	18846072202947.651581621
2022-04-02	19372074778679.342294656
2022-04-01	32128279761111.233850292
2022-03-31	29332376214340.098535865
2022-03-30	28313685303027.273489787
2022-03-29	24489200497657.125534188
2022-03-28	33194493429999.283176466
2022-03-27	24606823757217.02380191
2022-03-26	20291948091587.311412855
2022-03-25	18511411723042.907479601
2022-03-24	137831486333061.493965022
2022-03-23	138959010704501.594846233
2022-03-22	16643522606916.241978502
2022-03-21	13666076784602.341895525
2022-03-20	12847662999972.872711547
2022-03-19	15225613146513.262309694
2022-03-18	18640145174199.078794329
2022-03-17	20884161673645.147222222
2022-03-16	25719557562494.675294538
2022-03-15	23511017253188.015481191
2022-03-14	28631614086800.42493683
2022-03-13	23105858782701.968898373
2022-03-12	25654938417304.729211087
2022-03-11	55791295010779.335565363
2022-03-10	38012550302876.988509485
2022-03-09	28199340405545.213086573
2022-03-08	31473389734260.95810855
2022-03-07	18765348644100.774665043
2022-03-06	20565495594180.472550046
2022-03-05	17644014591845.589824436
2022-03-04	19931537879685.844192199
2022-03-03	40434377182652.764515819
2022-03-02	20770977578757.477209181
2022-03-01	23277880805460.587207056
2022-02-28	24632345493434.885290968
2022-02-27	18557169224899.351027843
2022-02-26	19835995547876.873588611
2022-02-25	48915291906318.637774649
2022-02-24	100444698907077.578490815
2022-02-23	22339110126526.863375765
2022-02-22	27527988865741.224241672
2022-02-21	27468909012854.216301734
2022-02-20	16762511718409.396646167
2022-02-19	37179193897527.633626367
2022-02-18	22587408260972.99103079
2022-02-17	23350008623730.305073288
2022-02-16	21415711646929.684502276
2022-02-15	28802898618078.330263158
2022-02-14	36985972262579.739835069
2022-02-13	25951285273855.588743464
2022-02-12	26326786238517.119915701
2022-02-11	29829393929572.640056749
2022-02-10	46283688298497.20201449
2022-02-09	35619211128517.251418924
2022-02-08	73675530414825.206058494
2022-02-07	54924178817127.043877864
2022-02-06	24111860661447.011071638
2022-02-05	31203311036960.061492362
2022-02-04	20676105100603.541857596
2022-02-03	15164668427177.628195861
2022-02-02	18243913686781.414808207
2022-02-01	12445645755402.26451627
2022-01-31	14336001168462.432390134
2022-01-30	11511850374163.81521639
2022-01-29	13114322201289.989025122
2022-01-28	21114715517903.104837537
2022-01-27	47390599513882.379998263
2022-01-26	38920928327629.629807825
2022-01-25	55554765569486.769740595
2022-01-24	343244218288007.451881263
2022-01-23	554515340009539.174380704
2022-01-22	135667662007661.64712275
2022-01-21	13182687607644.933434948
2022-01-20	19924908578411.768184593
2022-01-19	50613739949793.533717799
2022-01-18	49836880171778.496299853
2022-01-17	31495264435316.289718651
2022-01-16	49580474097891.479745544
2022-01-15	146552911357803.163295778
2022-01-14	65027857509736.255656007
2022-01-13	135062035253414.2812387
2022-01-12	27213134564082.987390258
2022-01-11	31336854072394.010059073
2022-01-10	152791533434841.629183085
2022-01-09	417305868639732.980802586
2022-01-08	414080698812049.116068053
2022-01-07	367866049855677.571631118
2022-01-06	91073544810078.821747181
2022-01-05	162907010679788.766179201
2022-01-04	220533442757061.280903638
2022-01-03	281090785743151.787938775
2022-01-02	382036291757364.588572919
2022-01-01	224404900628929.140414872
2021-12-31	311016710670206.512260825
2021-12-30	457347757952600.358451817
2021-12-29	668347536674364.179856115
2021-12-28	697172095866189.042274434
2021-12-27	350894541459806.422394678
2021-12-26	419313253896128.73725508
2021-12-25	462956507133564.538968629
2021-12-24	300931453952073.17327852
2021-12-23	233735147363211.673509994
2021-12-22	405584525647751.220559203
2021-12-21	87185267763028.956456091
2021-12-20	269887116890013.481976854
2021-12-19	272572836838847.962602152
2021-12-18	429850533569693.917596718
2021-12-17	319311916530886.301833251
2021-12-16	245412696269858.476929805
2021-12-15	142388004813522.810774678
2021-12-14	232627780320010.965753796
2021-12-13	272739253553721.712873994
2021-12-12	299245472326853.708026987
2021-12-11	265661815052266.226477206
2021-12-10	339660272371604.729872964
2021-12-09	232296060119854.721654087
2021-12-08	91293072809418.046599815
2021-12-07	87988531777800.944251014
2021-12-06	66219005478178.666258756
2021-12-05	59209655423714.364960358
2021-12-04	143950398667745.3955216
2021-12-03	81597007870208.13940869
2021-12-02	241505671182176.328443137
2021-12-01	180439180792598.75150338
2021-11-30	107982844494935.984460376
2021-11-29	208411805123548.324042373
2021-11-28	83221644558773.337309383
2021-11-27	162726959027522.292290083
2021-11-26	170598918784288.728852839
2021-11-25	125322001762173.628694468
2021-11-24	71391893696586.051539823
2021-11-23	62610309176043.536457565
2021-11-22	51928356570931.187067326
2021-11-21	44023678228474.199106491
2021-11-20	65073365416670.639402959
2021-11-19	28917680730000.51636507
2021-11-18	92805218030988.825740272
2021-11-17	57967744047860.48382027
2021-11-16	66826338990324.266099869
2021-11-15	52519374952724.148772064
2021-11-14	56629060182437.421326555
2021-11-13	36692238273734.599197135
2021-11-12	77422139251740.017945267
2021-11-11	106870543881964.725464996
2021-11-10	63254920929017.778818538
2021-11-09	128287148680710.788928305
2021-11-08	93317894060431.778793306
2021-11-07	44392873913943.016856361
2021-11-06	73545644555867.953646004
2021-11-05	79160830934982.361130323
2021-11-04	78826797296288.312396956
2021-11-03	139895920476434.181942707
2021-11-02	134296884404603.492869616
2021-11-01	105126963724588.005673888
2021-10-31	148826916058816.278866446
2021-10-30	145904735816502.659401406
2021-10-29	258783079651151.239757914
2021-10-28	206837835849832.910853959
2021-10-27	118958553620344.518346904
2021-10-26	118348850176951.062595802
2021-10-25	113584607190878.18179416
2021-10-24	92430436754168.819031632
2021-10-23	53164797755761.106220369
2021-10-22	117806466318762.055234475
2021-10-21	147617747967090.678712295
2021-10-20	90089194657811.131305325
2021-10-19	137145449499014.912596885
2021-10-18	142010094938435.927935511
2021-10-17	44666804193774.682603853
2021-10-16	50708612105529.102437355
2021-10-15	114016046607193.471802729
2021-10-14	57498021289241.989779071
2021-10-13	85277783079110.094640434
2021-10-12	58805765268936.491824005
2021-10-11	79009576566593.796554992
2021-10-10	76872213016214.801496459
2021-10-09	74222820068792.204245263
2021-10-08	76671381134866.406486713
2021-10-07	138846208116004.345977417
2021-10-06	144299434451507.245970947
2021-10-05	119929601819926.141313726
2021-10-04	134746959638479.278516802
2021-10-03	114958342739362.022178906
2021-10-02	171037630927949.808194444
2021-10-01	112396590467512.148181862
2021-09-30	150319430369574.420119971
2021-09-29	153019998060793.027828054
2021-09-28	44024986913138.291655252
2021-09-27	50494211555514.203161222
2021-09-26	43099240958955.01345507
2021-09-25	39504971549414.440447365
2021-09-24	47113950868474.634093489
2021-09-23	112328734574502.978163772
2021-09-22	37613852534308.372513766
2021-09-21	36299449223143.257313499
2021-09-20	44741409619391.393453819
2021-09-19	37964682136325.263229792
2021-09-18	37551954467365.505831069
2021-09-17	76452347012136.157860502
2021-09-16	26640413462782.440121964
2021-09-15	32076646959725.25231446
2021-09-14	30069850077663.110297931
2021-09-13	61874531578895.240183246
2021-09-12	30470339667787.538641051
2021-09-11	29467618655710.270439226
2021-09-10	36311438648639.45989631
2021-09-09	53826383009807.850357194
2021-09-08	49199336429023.461458775
2021-09-07	97990069875105.794403844
2021-09-06	65124755959596.573568706
2021-09-05	117097359717949.278352463
2021-09-04	60879029550065.070508919
2021-09-03	67369391800733.031966731
2021-09-02	41152197690982.339608559
2021-09-01	49900665347017.364452507
2021-08-31	31116722434073.27099559
2021-08-30	60808296404072.914423297
2021-08-29	64833981871764.068541646
2021-08-28	54886892289188.352699932
2021-08-27	50162382301333.331158881
2021-08-26	71998973712865.613995587
2021-08-25	75569136070401.902265064
2021-08-24	125556943388498.948151191
2021-08-23	44180441643740.375277244
2021-08-22	58080488458479.055823845
2021-08-21	106507824573407.055778423
2021-08-20	86290542552982.390568319
2021-08-19	109469227406251.079369228
2021-08-18	90765015561998.035126904
2021-08-17	141929231456214.81852296
2021-08-16	74711225170225.893412487
2021-08-15	73282391416982.039537757
2021-08-14	100396917377379.457008245
2021-08-13	44719565951812.796506477
2021-08-12	91251196647035.504352512
2021-08-11	58635642180453.334007415
2021-08-10	112698939566847.90704286
2021-08-09	115672081924228.744065342
2021-08-08	148874840875377.970297782
2021-08-07	51371033459161.721808882
2021-08-06	44333122670915.193546859
2021-08-05	65081220169338.797035176
2021-08-04	110533488979423.03689759
2021-08-03	130918703644427.111500774
2021-08-02	102783401357541.484562951
2021-08-01	107281061846999.802602086
2021-07-31	110869165927516.251312178
2021-07-30	118597247400588.863728539
2021-07-29	187333664147872.269799959
2021-07-28	172851870532362.183000576
2021-07-27	173545440708956.284038627
2021-07-26	176494249335294.645932238
2021-07-25	156210024626793.159250335
2021-07-24	182305638327263.730396564
2021-07-23	201349629619760.828789362
2021-07-22	165683789159583.48528901
2021-07-21	176744991590647.988952006
2021-07-20	220970978126187.22079552
2021-07-19	223198447850812.609595777
2021-07-18	225260925890316.955310846
2021-07-17	222071281526808.437048994
2021-07-16	316474328662196.890282584
2021-07-15	233245765035741.552923833
2021-07-14	292667330029322.238001712
2021-07-13	307795612039806.82768716
2021-07-12	236920640902658.731240704
2021-07-11	247653945206477.172497924
2021-07-10	274249748564911.031876705
2021-07-09	305739736442158.814518768
2021-07-08	377437505685298.86504841
2021-07-07	347067239067837.432517612
2021-07-06	296851795516941.378805593
2021-07-05	75211762471638.425961949
2021-07-04	60733146078806.843586972
2021-07-03	73039602066300.725615359
2021-07-02	47806931628492.703472879
2021-07-01	36358808908979.376721286
2021-06-30	118435351895464.609158132
2021-06-29	64552369224263.317522124
2021-06-28	41866811703131.154639563
2021-06-27	44922669015176.172488547
2021-06-26	41178078013489.819432895
2021-06-25	57620339151725.390826873
2021-06-24	52094434658512.275235884
2021-06-23	80444545273199.23236961
2021-06-22	181378532394415.298369722
2021-06-21	167807497105925.894811748
2021-06-20	111770292934364.12436081
2021-06-19	115397829272927.138275035
2021-06-18	121198036480208.581154337
2021-06-17	85110365276386.966438553
2021-06-16	103363125311757.03980695
