date	total_transaction_volume
2023-05-10	39980678.441860328
2023-05-09	45062385.911560526
2023-05-08	45252346.376748651
2023-05-07	21122663.990351122
2023-05-06	28981239.243965566
2023-05-05	29817246.581319206
2023-05-04	30306489.475906075
2023-05-03	31418733.108961508
2023-05-02	57515415.859071468
2023-05-01	46998007.089958747
2023-04-30	26214236.869560445
2023-04-29	29520654.544289688
2023-04-28	31538675.487583166
2023-04-27	32961622.477791507
2023-04-26	45164847.16081277
2023-04-25	43026358.847780625
2023-04-24	46131790.724393327
2023-04-23	35346405.038033971
2023-04-22	24398187.868544808
2023-04-21	45132746.860321861
2023-04-20	65661491.462531714
2023-04-19	41394531.427054463
2023-04-18	43105407.939101503
2023-04-17	35332047.5458841
2023-04-16	31666946.318004465
2023-04-15	36982633.56586578
2023-04-14	53318255.233073675
2023-04-13	40623755.332244784
2023-04-12	45780859.767960778
2023-04-11	77980438.331325294
2023-04-10	53114893.188624531
2023-04-09	34083894.733693234
2023-04-08	19837453.075795984
2023-04-07	31308089.724946601
2023-04-06	61668189.259594717
2023-04-05	32574125.547921608
2023-04-04	36423719.513257788
2023-04-03	33076002.994672378
2023-04-02	21340263.027069092
2023-04-01	30099582.015440159
2023-03-31	40900200.217614445
2023-03-30	44614106.329843747
2023-03-29	42486891.137983611
2023-03-28	52345698.573016399
2023-03-27	43510719.005322729
2023-03-26	20923186.293888889
2023-03-25	27998297.070278926
2023-03-24	37307277.702079006
2023-03-23	43986298.209717281
2023-03-22	43606752.887030894
2023-03-21	38320158.456215091
2023-03-20	43972488.482400659
2023-03-19	28642375.82483627
2023-03-18	35822619.983893404
2023-03-17	40164929.110692103
2023-03-16	34383851.775277681
2023-03-15	53299181.624388236
2023-03-14	58393580.561480406
2023-03-13	65637907.696144684
2023-03-12	59402990.328016097
2023-03-11	86194030.536666778
2023-03-10	67011970.181184476
2023-03-09	78016549.021331019
2023-03-08	42979103.420263201
2023-03-07	37303555.417655096
2023-03-06	27492986.720139431
2023-03-05	26951641.909364519
2023-03-04	25060783.070211851
2023-03-03	43293958.959029704
2023-03-02	35967637.874216359
2023-03-01	43596609.385143362
2023-02-28	39891342.770050904
2023-02-27	92718219.13484378
2023-02-26	104428756.91439659
2023-02-25	49606099.358010601
2023-02-24	80010744.673879618
2023-02-23	32493606.351678593
2023-02-22	71948396.53455934
2023-02-21	50167486.644208175
2023-02-20	41612867.893750167
2023-02-19	55145980.79057925
2023-02-18	50086314.166043269
2023-02-17	65605360.676742548
2023-02-16	82984256.942059271
2023-02-15	64292591.095860802
2023-02-14	64224767.606915992
2023-02-13	103866981.696376599
2023-02-12	108704501.704322843
2023-02-11	102681311.538103356
2023-02-10	102405189.783343415
2023-02-09	99591655.967930202
2023-02-08	88266336.571691675
2023-02-07	56473128.70590062
