date	total_transaction_volume
2023-10-14	18852453359.184707
2023-10-13	20010379375.612166
2023-10-12	14651575071.026923
2023-10-11	17893187826.634187
2023-10-10	16711805212.883551
2023-10-09	23238952713.136589
2023-10-08	14990891740.410667
2023-10-07	15270821177.211427
2023-10-06	18269057938.511254
2023-10-05	18454687412.666005
2023-10-04	22317450066.688938
2023-10-03	21658734605.794503
2023-10-02	22107146669.629832
2023-10-01	21739522806.963219
2023-09-30	18943157036.477359
2023-09-29	19139014952.072415
2023-09-28	17335090336.222968
2023-09-27	13383255811.602508
2023-09-26	18296031230.404478
2023-09-25	13843694167.859931
2023-09-24	13976046145.336523
2023-09-23	14476239784.014393
2023-09-22	15517231838.562633
2023-09-21	16114435065.312587
2023-09-20	14501289728.044731
2023-09-19	14496478383.311094
2023-09-18	16204937257.158131
2023-09-17	14841982399.153308
2023-09-16	15053005909.377538
2023-09-15	17721028984.76648
2023-09-14	16310510244.891261
2023-09-13	18769012831.702677
2023-09-12	16978313765.413443
2023-09-11	16967637837.771327
2023-09-10	18264497196.685482
