date	unique_recievers
2022-12-06	83777
2022-12-05	37451
2022-12-04	28054
2022-12-03	50424
2022-12-02	47237
2022-12-01	32245
2022-11-30	31067
2022-11-29	61668
2022-11-28	29067
2022-11-27	36617
2022-11-26	30800
2022-11-25	37151
2022-11-24	31782
2022-11-23	33601
2022-11-22	66086
2022-11-21	21375
2022-11-20	29279
2022-11-19	28621
2022-11-18	35402
2022-11-17	33357
2022-11-16	37068
2022-11-15	71587
2022-11-14	27656
2022-11-13	26801
2022-11-12	27752
2022-11-11	32297
2022-11-10	29046
2022-11-09	26346
2022-11-08	65618
2022-11-07	27764
2022-11-06	23973
2022-11-05	32080
2022-11-04	32993
2022-11-03	36333
2022-11-02	39000
2022-11-01	72100
2022-10-31	29527
2022-10-30	29393
2022-10-29	27823
2022-10-28	30960
2022-10-27	33948
2022-10-26	30526
2022-10-25	63524
2022-10-24	27517
2022-10-23	23726
2022-10-22	27311
2022-10-21	34146
2022-10-20	22971
2022-10-19	19171
2022-10-18	69541
2022-10-17	47622
2022-10-16	43393
2022-10-15	45639
2022-10-14	49645
2022-10-13	49177
2022-10-12	49426
2022-10-11	79133
2022-10-10	41006
2022-10-09	42516
2022-10-08	47030
2022-10-07	51497
2022-10-06	35558
2022-10-05	25525
2022-10-04	62023
2022-10-03	20294
2022-10-02	21596
2022-10-01	22394
2022-09-30	22137
2022-09-29	21262
2022-09-28	23440
2022-09-27	66961
2022-09-26	24204
2022-09-25	22125
2022-09-24	24090
2022-09-23	20922
2022-09-22	24649
2022-09-21	23500
2022-09-20	65946
2022-09-19	23930
2022-09-18	24187
2022-09-17	28059
2022-09-16	21539
2022-09-15	20109
2022-09-14	20709
2022-09-13	63114
2022-09-12	23242
2022-09-11	22926
2022-09-10	26118
2022-09-09	24761
2022-09-08	25115
2022-09-07	21653
2022-09-06	63248
2022-09-05	23703
2022-09-04	21154
2022-09-03	23954
2022-09-02	29167
2022-09-01	22377
2022-08-31	23271
2022-08-30	77514
2022-08-29	46540
2022-08-28	44554
2022-08-27	52374
2022-08-26	56697
2022-08-25	53591
2022-08-24	52680
2022-08-23	98905
2022-08-22	52086
2022-08-21	54390
2022-08-20	51855
2022-08-19	57885
2022-08-18	53096
2022-08-17	52815
2022-08-16	94167
2022-08-15	53015
2022-08-14	50760
2022-08-13	51422
2022-08-12	59594
2022-08-11	52930
2022-08-10	62027
2022-08-09	101125
2022-08-08	51821
2022-08-07	48684
2022-08-06	49836
2022-08-05	49717
2022-08-04	66153
2022-08-03	46660
2022-08-02	105843
2022-08-01	67242
2022-07-31	58776
2022-07-30	71272
2022-07-29	79174
2022-07-28	71415
2022-07-27	65452
2022-07-26	110898
2022-07-25	68463
2022-07-24	62735
2022-07-23	58892
2022-07-22	64694
2022-07-21	65159
2022-07-20	66614
2022-07-19	118678
2022-07-18	66514
2022-07-17	57093
2022-07-16	63952
2022-07-15	64457
2022-07-14	67005
2022-07-13	80949
2022-07-12	119824
2022-07-11	75559
2022-07-10	57477
2022-07-09	61637
2022-07-08	64656
2022-07-07	74967
2022-07-06	63642
2022-07-05	114244
2022-07-04	57679
2022-07-03	57790
2022-07-02	56540
2022-07-01	58478
2022-06-30	60439
2022-06-29	54896
2022-06-28	112652
2022-06-27	71278
2022-06-26	72602
2022-06-25	66273
2022-06-24	75068
2022-06-23	77764
2022-06-22	77413
2022-06-21	122155
2022-06-20	74762
2022-06-19	79704
2022-06-18	80564
2022-06-17	78569
2022-06-16	77449
2022-06-15	74171
2022-06-14	121197
2022-06-13	72830
2022-06-12	69434
2022-06-11	75388
2022-06-10	83850
2022-06-09	83397
2022-06-08	64322
2022-06-07	119817
2022-06-06	72498
2022-06-05	73130
2022-06-04	71893
2022-06-03	79561
2022-06-02	135328
2022-06-01	87844
2022-05-31	128287
2022-05-30	80534
2022-05-29	73854
2022-05-28	77984
2022-05-27	86759
2022-05-26	81098
2022-05-25	75398
2022-05-24	118489
2022-05-23	80729
2022-05-22	78503
2022-05-21	79261
2022-05-20	86422
2022-05-19	82424
2022-05-18	81577
2022-05-17	120668
2022-05-16	77976
2022-05-15	71040
2022-05-14	83058
2022-05-13	83258
2022-05-12	83010
2022-05-11	87695
2022-05-10	112373
2022-05-09	84690
2022-05-08	97218
2022-05-07	65856
2022-05-06	69694
2022-05-05	67728
2022-05-04	73489
2022-05-03	104094
2022-05-02	68584
2022-05-01	70888
2022-04-30	68599
2022-04-29	74278
2022-04-28	95709
2022-04-27	69121
2022-04-26	94534
2022-04-25	78747
2022-04-24	78078
2022-04-23	85397
2022-04-22	101868
2022-04-21	99008
2022-04-20	80062
2022-04-19	106855
2022-04-18	68777
2022-04-17	69165
2022-04-16	71743
2022-04-15	83520
2022-04-14	84346
2022-04-13	81046
2022-04-12	127425
2022-04-11	76216
2022-04-10	74633
2022-04-09	79338
2022-04-08	100288
2022-04-07	83293
2022-04-06	80198
2022-04-05	113113
2022-04-04	77872
2022-04-03	79831
2022-04-02	74875
2022-04-01	109482
2022-03-31	108716
2022-03-30	76313
2022-03-29	104068
2022-03-28	76423
2022-03-27	74854
2022-03-26	77804
2022-03-25	106067
2022-03-24	81287
2022-03-23	77715
2022-03-22	120851
2022-03-21	79115
2022-03-20	83491
2022-03-19	86318
2022-03-18	88802
2022-03-17	76398
2022-03-16	86002
2022-03-15	109459
2022-03-14	66537
2022-03-13	74014
2022-03-12	78434
2022-03-11	80884
2022-03-10	77872
2022-03-09	88569
2022-03-08	116316
2022-03-07	81126
2022-03-06	78081
2022-03-05	89728
2022-03-04	96823
2022-03-03	86712
2022-03-02	84092
2022-03-01	125540
2022-02-28	109279
2022-02-27	71755
2022-02-26	78889
2022-02-25	75665
2022-02-24	70990
2022-02-23	65503
2022-02-22	108826
2022-02-21	68727
2022-02-20	75011
2022-02-19	68090
2022-02-18	81717
2022-02-17	73543
2022-02-16	74222
2022-02-15	105935
2022-02-14	62110
2022-02-13	72136
2022-02-12	67752
2022-02-11	89779
2022-02-10	53377
2022-02-09	57813
2022-02-08	100308
2022-02-07	62959
2022-02-06	60963
2022-02-05	65931
2022-02-04	68392
2022-02-03	63561
2022-02-02	72102
2022-02-01	107135
2022-01-31	62160
2022-01-30	74622
2022-01-29	71197
2022-01-28	75967
2022-01-27	70823
2022-01-26	62347
2022-01-25	94968
2022-01-24	64189
2022-01-23	67325
2022-01-22	72929
2022-01-21	83273
2022-01-20	91315
2022-01-19	80774
2022-01-18	109090
2022-01-17	76360
2022-01-16	77633
2022-01-15	79511
2022-01-14	85594
2022-01-13	76777
2022-01-12	75792
2022-01-11	112529
2022-01-10	79899
2022-01-09	84833
2022-01-08	88115
2022-01-07	92209
2022-01-06	90739
2022-01-05	89178
2022-01-04	113326
2022-01-03	82395
2022-01-02	89862
2022-01-01	76805
2021-12-31	92090
2021-12-30	88709
2021-12-29	72085
2021-12-28	100566
2021-12-27	79755
2021-12-26	69220
2021-12-25	69003
2021-12-24	83844
2021-12-23	92668
2021-12-22	81484
2021-12-21	100889
2021-12-20	66264
2021-12-19	74208
2021-12-18	79238
2021-12-17	81023
2021-12-16	67992
2021-12-15	87556
2021-12-14	109906
2021-12-13	79057
2021-12-12	77067
2021-12-11	85054
2021-12-10	94492
2021-12-09	80432
2021-12-08	79725
2021-12-07	85519
2021-12-06	63361
2021-12-05	56330
2021-12-04	62983
2021-12-03	79170
