date	average_transaction_value
2021-02-17	88371409142.408661177
2021-02-16	70998900191.901530762
2021-02-15	121132999885.668013468
2021-02-14	268501962130.293880733
2021-02-13	73803914949.60291295
2021-02-12	71174992087.68765946
2021-02-11	105973294789.205312538
2021-02-10	150536723494.259163592
2021-02-09	131320554933.904435125
2021-02-08	88251448136.027432555
2021-02-07	102567107965.812729498
2021-02-06	52029443949.809624378
2021-02-05	139750787241.496368039
2021-02-04	75207899462.157467791
2021-02-03	96145422944.753482128
2021-02-02	101773482982.573954984
2021-02-01	105060559441.993845157
2021-01-31	100776314319.064383806
2021-01-30	85563228720.756537102
2021-01-29	83875786215.839922997
2021-01-28	153303470299.214114612
2021-01-27	90919825342.806702573
2021-01-26	89207491448.541239229
2021-01-25	121788938256.388837382
2021-01-24	127404196968.021017927
2021-01-23	98210649712.301091062
2021-01-22	113089552022.463493884
2021-01-21	136380891189.197222781
2021-01-20	132417480203.180760709
2021-01-19	83727723398.073792729
2021-01-18	85867790741.825832073
2021-01-17	89050613842.443432778
2021-01-16	96709857147.165038381
2021-01-15	151672579524.778698429
2021-01-14	162525069901.557394802
2021-01-13	129885757622.72149951
2021-01-12	142007416293.183154491
2021-01-11	152101554091.978175313
2021-01-10	159653512483.934137515
2021-01-09	111018116759.768307884
2021-01-08	116670260499.162876955
2021-01-07	154977166087.505839416
2021-01-06	174727074431.057088184
2021-01-05	111981993261.102153408
2021-01-04	152452693085.664124514
2021-01-03	118232133850.54659189
2021-01-02	138413414910.677917208
2021-01-01	121911635386.687551661
2020-12-31	74710734270.933333333
2020-12-30	100428703385.998489426
2020-12-29	118308020854.625879805
2020-12-28	51068629934.021908935
2020-12-27	62186985587.283139535
2020-12-26	54372781215.845247934
2020-12-25	63097101650.863405337
2020-12-24	80424593846.394194549
2020-12-23	43943573351.107638125
2020-12-22	65213486287.479474548
2020-12-21	50324708617.267472306
2020-12-20	41714540589.544435216
2020-12-19	30097251437.724653618
2020-12-18	57526195489.257894737
2020-12-17	50361353661.681209899
2020-12-16	63276329095.32709691
2020-12-15	34845250605.564559216
2020-12-14	49480095097.078778135
2020-12-13	60587676744.462406918
2020-12-12	45827708090.901627573
2020-12-11	41702825981.389029148
2020-12-10	96032390473.153343498
2020-12-09	79300418197.773987207
2020-12-08	79857075544.741452514
2020-12-07	67604524214.043177893
2020-12-06	46680796958.671934974
2020-12-05	70454653218.56314292
2020-12-04	71013529953.063010714
2020-12-03	66716696906.974283305
2020-12-02	66265246609.838956738
2020-12-01	65364607109.15093974
2020-11-30	68177753822.874925075
2020-11-29	47345026995.691445809
2020-11-28	55686398785.747867693
2020-11-27	75419346478.807460112
2020-11-26	79761768754.376235811
2020-11-25	69811677206.221757322
2020-11-24	100838863438.089166295
2020-11-23	66327476663.245432498
2020-11-22	67075790052.815103223
2020-11-21	77845985571.109248055
2020-11-20	80668365656.860654403
2020-11-19	67479698257.780899908
2020-11-18	19542594013.377782775
2020-11-17	73635539558.092734388
2020-11-16	87309367694.170853343
2020-11-15	71675875865.774110161
2020-11-14	75073510232.249310209
2020-11-13	68177282581.280616664
2020-11-12	92073805675.352043501
2020-11-11	29198355887.118488253
2020-11-10	52864998992.019654088
2020-11-09	32282177006.06403732
2020-11-08	35487561894.405875952
2020-11-07	46109384290.591474607
2020-11-06	53041911583.486600306
2020-11-05	66224787986.305248619
2020-11-04	48302413476.279163315
2020-11-03	50758949940.147754137
2020-11-02	33108858044.439189189
2020-11-01	45546085158.044625192
2020-10-31	39111178345.662694405
2020-10-30	78962435642.517803259
2020-10-29	54633709580.42142448
2020-10-28	71598423271.050553583
2020-10-27	49632355429.267629211
2020-10-26	49755979755.000203087
2020-10-25	37936885374.227759563
2020-10-24	46772947927.597665712
2020-10-23	55082283371.518434913
2020-10-22	51514853710.322341004
2020-10-21	77944773238.789848286
2020-10-20	62679702375.420781281
2020-10-19	62748353802.76
2020-10-18	44529114017.008646141
2020-10-17	43359308948.390352741
2020-10-16	52948606242.125819917
2020-10-15	41638270258.395490555
2020-10-14	24163332492.477637131
2020-10-13	22507520343.890605376
2020-10-12	43713487715.916537867
2020-10-11	55406512691.301437216
2020-10-10	34940234039.490955522
2020-10-09	26831147726.962667785
2020-10-08	28009192481.550150021
2020-10-07	32012817841.916572206
2020-10-06	46720512252.935395043
2020-10-05	29887500363.176617433
2020-10-04	34320451277.51313219
2020-10-03	43424229380.332859512
2020-10-02	26138981724.30688054
2020-10-01	27745972321.113325518
2020-09-30	21241909293.731259136
2020-09-29	30886455686.13393777
2020-09-28	33567146755.518692587
2020-09-27	22969553207.138650591
2020-09-26	12053961917.400045537
2020-09-25	35339014254.89090193
2020-09-24	47763322358.069389299
2020-09-23	45994231506.774772871
2020-09-22	65915481559.642321358
2020-09-21	42564895999.000970874
2020-09-20	16508327189.646743979
2020-09-19	18182165337.779865772
2020-09-18	34334684510.846396302
2020-09-17	29884742112.768159417
2020-09-16	51490361376.767779056
2020-09-15	44480747427.481265109
2020-09-14	58429149702.747556665
2020-09-13	44494330790.314113239
2020-09-12	66972573714.181265642
2020-09-11	66182681743.024672188
2020-09-10	41828465542.810446957
2020-09-09	40632447381.720541118
2020-09-08	62028040042.567963618
2020-09-07	73870667794.309380895
2020-09-06	60683385022.051015185
2020-09-05	69936294569.678157054
2020-09-04	81213449949.363828184
2020-09-03	81209501760.478452344
2020-09-02	27920219112.194063143
2020-09-01	44616377874.440386505
2020-08-31	48502238316.9759555
2020-08-30	20141748479.070245678
2020-08-29	31956907751.17248138
2020-08-28	39850269187.416516408
2020-08-27	59590357890.835362626
2020-08-26	50648540528.250045037
2020-08-25	45508984332.40758214
2020-08-24	37685346727.885830966
2020-08-23	35393126732.617474694
2020-08-22	63821586403.488856143
2020-08-21	34470118345.24533107
2020-08-20	51322862163.686375779
2020-08-19	49823079254.11335322
2020-08-18	39373984680.178286129
2020-08-17	51108239889.527739251
2020-08-16	49478821002.139555877
2020-08-15	56660201260.395361781
2020-08-14	64109212679.199154781
2020-08-13	81641531596.899525585
2020-08-12	59016338693.172649301
2020-08-11	67790269550.632951654
2020-08-10	48592508123.065894388
2020-08-09	39339487789.379826399
2020-08-08	30615968337.242647059
2020-08-07	50062330350.53401313
2020-08-06	39753974798.026792268
2020-08-05	53424799166.585781873
2020-08-04	31986370996.975176771
2020-08-03	56176324715.472304735
2020-08-02	53582495229.70384498
2020-08-01	50428843882.003700767
2020-07-31	35652709972.974399718
2020-07-30	26671157851.88371346
2020-07-29	28685395622.272360651
2020-07-28	29284732873.443962292
2020-07-27	30589265820.531309042
2020-07-26	32163906765.158381997
2020-07-25	13972549850.357876442
2020-07-24	18624980868.462752115
2020-07-23	14787959403.885236364
2020-07-22	24414363304.723792697
2020-07-21	23383893829.247321702
2020-07-20	26186475029.67480916
2020-07-19	24151113020.959008757
2020-07-18	26043390542.041846419
2020-07-17	34096424169.787454765
2020-07-16	46798651163.33664068
2020-07-15	46596729324.476292183
2020-07-14	36612564862.927447896
2020-07-13	44307373758.196335549
2020-07-12	26226891207.698752228
2020-07-11	25452088228.820935961
2020-07-10	22825073083.747733805
2020-07-09	27275904408.322254335
2020-07-08	36425380425.79015748
2020-07-07	27982956437.744024337
2020-07-06	40713223241.087883093
2020-07-05	24146620305.551889884
2020-07-04	32933755178.159796202
2020-07-03	36703433896.483092876
2020-07-02	26080372604.723616089
2020-07-01	27349492793.307622914
2020-06-30	31705383758.325570776
2020-06-29	43234624872.626730202
2020-06-28	41106293192.196346027
2020-06-27	27989601566.045028525
2020-06-26	29147035670.551420977
2020-06-25	28263580342.766210589
2020-06-24	52230178061.00597684
2020-06-23	24929280433.798694779
2020-06-22	30279116202.655516432
2020-06-21	23365747041.609375
2020-06-20	15937178698.120571784
2020-06-19	17812547593.702200385
2020-06-18	18090782631.335860656
2020-06-17	14806192068.969512195
2020-06-16	22854580543.84990099
2020-06-15	29957579849.603971119
2020-06-14	24355676768.967613874
2020-06-13	25514404501.105705706
2020-06-12	25248950273.958186309
2020-06-11	30030967177.460893429
2020-06-10	20347828532.990941443
2020-06-09	22318872481.996972564
2020-06-08	16318000670.818140034
2020-06-07	15984397968.508440629
2020-06-06	16063749285.788019732
2020-06-05	17789446792.613784433
2020-06-04	14063947179.861411926
2020-06-03	29229676598.51966759
2020-06-02	26942646805.14602302
2020-06-01	23468954842.332519256
2020-05-31	45954758048.407638634
2020-05-30	49525074373.883259522
2020-05-29	19183770162.82402529
2020-05-28	22059099530.452298967
2020-05-27	22475687151.441223833
2020-05-26	26360691163.457789043
2020-05-25	20831939319.324557795
2020-05-24	22580787748.153181627
2020-05-23	13617971801.981731187
2020-05-22	25312399677.950778696
2020-05-21	25366612413.483576956
2020-05-20	25515143536.730249769
2020-05-19	24633843126.757820593
2020-05-18	42721180410.282826443
2020-05-17	25938523697.520805142
2020-05-16	13982936617.822846442
2020-05-15	17681004117.179760569
2020-05-14	23774560977.776767489
2020-05-13	18979503175.258040801
2020-05-12	25111548789.568466214
2020-05-11	23234238441.351081531
2020-05-10	22116967095.146297213
2020-05-09	18715601885.650403453
2020-05-08	20737293093.649080882
2020-05-07	26223432634.867310909
2020-05-06	22846563837.017551105
2020-05-05	22266342500.559228085
2020-05-04	27491363171.494788473
2020-05-03	18073541703.596378018
2020-05-02	16272330734.533955305
2020-05-01	27867221184.418073486
2020-04-30	31555196091.590118302
2020-04-29	27083197911.440854326
2020-04-28	13819768527.606611208
2020-04-27	17937844061.006336634
2020-04-26	13279972416.285684518
2020-04-25	13810500827.339119653
2020-04-24	16746584190.236779938
2020-04-23	18675090415.936595031
2020-04-22	17547284370.073753463
2020-04-21	22996582653.14008405
2020-04-20	26884438445.656036036
2020-04-19	26116651664.134144128
2020-04-18	18263744725.309466019
2020-04-17	17153655356.032317636
2020-04-16	23635169231.001893541
2020-04-15	19950356236.184053309
2020-04-14	18078683993.186325188
2020-04-13	23043780346.984251969
