date	total_gas_fee
2023-02-16	28777.769498
2023-02-15	26910.900451
2023-02-14	23855.668741
2023-02-13	23599.460514
2023-02-12	21491.75495
2023-02-11	21979.976496
2023-02-10	26169.491328
2023-02-09	27412.937655
2023-02-08	24274.403914
2023-02-07	23587.032759
2023-02-06	25676.693295
2023-02-05	24703.346901
2023-02-04	24635.31728
2023-02-03	28421.396194
2023-02-02	25829.674921
2023-02-01	24776.961134
2023-01-31	28929.99647
2023-01-30	22718.483447
2023-01-29	19692.63706
2023-01-28	21253.439371
2023-01-27	20744.06609
2023-01-26	19785.181627
2023-01-25	19957.571126
2023-01-24	20301.836798
2023-01-23	21849.694198
2023-01-22	22113.310096
2023-01-21	23109.155548
2023-01-20	21503.190551
2023-01-19	21042.742824
2023-01-18	22849.555172
2023-01-17	23982.277217
2023-01-16	23032.67672
2023-01-15	21120.62613
2023-01-14	26575.227048
2023-01-13	25687.098492
2023-01-12	23363.959269
2023-01-11	21569.749018
2023-01-10	21303.343527
2023-01-09	22675.956725
2023-01-08	21625.256705
2023-01-07	21006.326586
2023-01-06	21844.561784
2023-01-05	25420.793188
2023-01-04	21956.887679
2023-01-03	20862.916288
2023-01-02	19740.67168
2023-01-01	17896.001752
2022-12-31	21318.762183
2022-12-30	21255.747419
2022-12-29	41529.55572
2022-12-28	84784.782797
2022-12-27	25067.233575
2022-12-26	19660.307016
2022-12-25	18126.896898
2022-12-24	21671.273918
2022-12-23	24858.709888
2022-12-22	22814.069677
2022-12-21	22907.325829
2022-12-20	23537.102321
2022-12-19	23062.780961
2022-12-18	17733.729979
2022-12-17	22298.616097
2022-12-16	22872.921147
2022-12-15	22282.661031
2022-12-14	23593.374217
2022-12-13	23788.716224
2022-12-12	21204.993572
2022-12-11	18016.948912
2022-12-10	19570.801261
2022-12-09	18962.900143
2022-12-08	19697.076889
2022-12-07	20424.035828
2022-12-06	21226.037721
2022-12-05	23133.708047
2022-12-04	20417.572079
2022-12-03	20715.946816
2022-12-02	22169.207528
2022-12-01	24750.141288
2022-11-30	30291.863943
2022-11-29	25355.097927
2022-11-28	24445.330188
2022-11-27	24708.346844
2022-11-26	26814.956339
2022-11-25	35490.50342
2022-11-24	20480.865675
2022-11-23	21482.591691
2022-11-22	39978.940502
2022-11-21	23372.474265
2022-11-20	20845.102089
2022-11-19	20891.391073
2022-11-18	20449.674725
2022-11-17	26112.25121
2022-11-16	25140.072601
2022-11-15	28198.441825
2022-11-14	30010.674543
2022-11-13	33583.916624
2022-11-12	33837.883191
2022-11-11	28408.753917
2022-11-10	30279.98698
2022-11-09	31272.641199
2022-11-08	30218.015177
2022-11-07	27926.295435
2022-11-06	22827.591851
2022-11-05	27544.369372
2022-11-04	178239.591314
2022-11-03	131374.730446
2022-11-02	43028.488357
2022-11-01	46991.742961
2022-10-31	35321.505619
2022-10-30	43350.059736
2022-10-29	67737.16069
2022-10-28	30771.419396
2022-10-27	33445.406749
2022-10-26	28623.646032
2022-10-25	18863.112306
2022-10-24	19059.482146
2022-10-23	18377.340613
2022-10-22	20039.81804
2022-10-21	18889.115646
2022-10-20	19598.545419
2022-10-19	19033.613226
2022-10-18	19147.761595
2022-10-17	17827.010453
2022-10-16	18044.65054
2022-10-15	19008.443494
2022-10-14	20637.640347
2022-10-13	20647.730775
2022-10-12	18213.677242
2022-10-11	17105.2079
2022-10-10	20272.561929
2022-10-09	17547.41
2022-10-08	20002.596254
2022-10-07	19404.947603
2022-10-06	20884.357123
2022-10-05	20545.762182
2022-10-04	22462.309878
2022-10-03	18952.726178
2022-10-02	17609.092283
2022-10-01	19895.003745
2022-09-30	20118.035427
2022-09-29	20954.324155
2022-09-28	18737.605248
2022-09-27	18609.50504
2022-09-26	17812.903244
2022-09-25	17646.75017
2022-09-24	22367.224839
2022-09-23	22121.098141
2022-09-22	20275.224044
2022-09-21	22637.381791
2022-09-20	24200.068734
2022-09-19	22331.10374
2022-09-18	20043.545763
2022-09-17	17607.099393
2022-09-16	20827.085911
2022-09-15	21281.18415
2022-09-14	21944.347112
2022-09-13	23114.71055
2022-09-12	24221.098615
2022-09-11	23073.521984
2022-09-10	23739.717338
2022-09-09	29164.133426
2022-09-08	25687.690787
2022-09-07	21558.908044
2022-09-06	23073.113429
2022-09-05	20389.304401
2022-09-04	16975.122932
2022-09-03	20694.687641
2022-09-02	22921.665711
2022-09-01	24135.05542
2022-08-31	22773.829054
2022-08-30	19289.719591
2022-08-29	21569.73482
2022-08-28	21113.317297
2022-08-27	23171.674826
2022-08-26	24167.586383
2022-08-25	22466.402858
2022-08-24	23655.020049
2022-08-23	24281.230028
2022-08-22	24611.521902
2022-08-21	23264.625458
2022-08-20	24391.902751
2022-08-19	25774.604411
2022-08-18	26056.566832
2022-08-17	34438.655153
2022-08-16	43973.925534
2022-08-15	33920.849569
2022-08-14	31032.301181
2022-08-13	23554.457954
2022-08-12	23460.43425
2022-08-11	27391.93582
2022-08-10	25955.192408
2022-08-09	42570.151293
2022-08-08	26600.589806
2022-08-07	22574.687891
2022-08-06	26171.477587
2022-08-05	30466.322261
2022-08-04	27654.246289
2022-08-03	31027.614393
2022-08-02	32082.157034
2022-08-01	30716.925518
2022-07-31	32015.96964
2022-07-30	36081.075302
2022-07-29	33501.278385
2022-07-28	45526.063119
2022-07-27	38503.86087
2022-07-26	32876.100434
2022-07-25	30494.592536
2022-07-24	34917.551928
2022-07-23	37449.465274
2022-07-22	37448.962604
2022-07-21	35071.383033
2022-07-20	33466.826318
2022-07-19	47901.65632
2022-07-18	28923.901991
2022-07-17	28956.256798
2022-07-16	29436.612199
2022-07-15	30993.857944
2022-07-14	30002.493835
2022-07-13	26923.31002
2022-07-12	21260.436807
2022-07-11	24056.975659
2022-07-10	20600.063302
2022-07-09	25734.385957
2022-07-08	28094.07682
2022-07-07	28566.246499
2022-07-06	27758.236524
2022-07-05	25311.492945
2022-07-04	25643.329148
2022-07-03	24116.144841
2022-07-02	26918.955992
2022-07-01	28704.484985
2022-06-30	27446.503483
2022-06-29	26243.374401
