date	total_gas_fee
2020-07-16	55492673
2020-07-15	62241832
2020-07-14	68803263
2020-07-13	77112458
2020-07-12	71387163
2020-07-11	55474138
2020-07-10	60485703
2020-07-09	65300321
2020-07-08	76788338
2020-07-07	58180723
2020-07-06	65494457
2020-07-05	62376609
2020-07-04	59441368
2020-07-03	60156802
2020-07-02	66211049
2020-07-01	63828674
2020-06-30	62545568
2020-06-29	80250979
2020-06-28	66567762
2020-06-27	76237194
2020-06-26	71468147
2020-06-25	73858821
2020-06-24	92669592
2020-06-23	113339800
2020-06-22	79183834
2020-06-21	57193749
2020-06-20	62173146
2020-06-19	62338912
2020-06-18	71850659
2020-06-17	73964707
2020-06-16	75039277
2020-06-15	75248536
2020-06-14	63706067
2020-06-13	70796100
2020-06-12	91844615
2020-06-11	93224177
2020-06-10	99959915
2020-06-09	112574686
2020-06-08	127460385
2020-06-07	179751561
2020-06-06	171782544
2020-06-05	135361534
2020-06-04	118843331
2020-06-03	89253633
2020-06-02	101694998
2020-06-01	136792411
2020-05-31	108575670
2020-05-30	164111775
2020-05-29	73533711
2020-05-28	79591752
2020-05-27	77979684
2020-05-26	81327688
2020-05-25	81746384
2020-05-24	74614378
2020-05-23	85320749
2020-05-22	94918759
2020-05-21	91547229
2020-05-20	105766862
2020-05-19	94943034
2020-05-18	117011228
2020-05-17	111272359
2020-05-16	87016140
2020-05-15	89466926
2020-05-14	95858446
2020-05-13	94571704
2020-05-12	100432617
2020-05-11	96762086
2020-05-10	89075395
2020-05-09	105397449
2020-05-08	100686997
2020-05-07	95171528
2020-05-06	84161008
2020-05-05	89907814
2020-05-04	82607633
2020-05-03	102634864
2020-05-02	86510172
2020-05-01	118401160
2020-04-30	124007110
2020-04-29	128494358
2020-04-28	102732727
2020-04-27	98757321
2020-04-26	89301592
2020-04-25	132027170
2020-04-24	109159985
2020-04-23	124153030
2020-04-22	100669910
2020-04-21	158214970
2020-04-20	127315336
2020-04-19	90187308
2020-04-18	93342878
2020-04-17	66434107
2020-04-16	91459667
2020-04-15	68921482
2020-04-14	66045350
2020-04-13	75900396
2020-04-12	71652919
2020-04-11	71272959
2020-04-10	84929827
2020-04-09	104840388
2020-04-08	97458999
2020-04-07	75160870
2020-04-06	86583382
2020-04-05	69025521
2020-04-04	60027221
2020-04-03	79269822
2020-04-02	77762239
2020-04-01	89784944
2020-03-31	69366429
2020-03-30	75116383
2020-03-29	83270121
2020-03-28	66814205
2020-03-27	85356861
2020-03-26	68762469
2020-03-25	85075415
2020-03-24	62616740
2020-03-23	71820514
2020-03-22	85157234
2020-03-21	75557825
2020-03-20	91826179
2020-03-19	86551165
2020-03-18	81674206
2020-03-17	64533511
2020-03-16	90226891
2020-03-15	66942915
2020-03-14	71088389
2020-03-13	102062429
2020-03-12	83492291
2020-03-11	61703229
2020-03-10	64272165
2020-03-09	74073032
2020-03-08	55412308
2020-03-07	59992136
2020-03-06	56729180
2020-03-05	66572483
2020-03-04	58477130
2020-03-03	76070379
2020-03-02	58625090
2020-03-01	63631956
2020-02-29	53548599
2020-02-28	71550283
2020-02-27	61856235
2020-02-26	67726828
2020-02-25	57259604
2020-02-24	66628358
2020-02-23	74334516
2020-02-22	52907993
2020-02-21	81977714
2020-02-20	59044902
2020-02-19	79877004
2020-02-18	70084371
2020-02-17	81347540
2020-02-16	77492889
2020-02-15	60552103
2020-02-14	71313204
2020-02-13	89829553
2020-02-12	72786912
2020-02-11	79002791
2020-02-10	68650278
2020-02-09	66079618
2020-02-08	62394417
2020-02-07	77495872
2020-02-06	72177559
2020-02-05	83070084
2020-02-04	68541487
2020-02-03	66333264
2020-02-02	67330712
2020-02-01	102563163
2020-01-31	72011947
2020-01-30	84764070
2020-01-29	80011929
2020-01-28	63074457
2020-01-27	63868680
2020-01-26	60975586
2020-01-25	63280022
2020-01-24	53601074
2020-01-23	71058424
2020-01-22	63496543
2020-01-21	63078249
2020-01-20	57744606
2020-01-19	63175108
2020-01-18	81753491
2020-01-17	148316488
2020-01-16	77986225
2020-01-15	125969725
2020-01-14	82856377
2020-01-13	75615427
2020-01-12	55649457
2020-01-11	89581064
2020-01-10	63702097
2020-01-09	57369950
2020-01-08	72098840
2020-01-07	78257205
2020-01-06	58671361
2020-01-05	66109189
2020-01-04	50008135
2020-01-03	66855446
2020-01-02	60160574
2020-01-01	45171147
2019-12-31	62816029
2019-12-30	47735912
2019-12-29	57215400
2019-12-28	54836417
2019-12-27	53076486
2019-12-26	51887164
2019-12-25	51042926
2019-12-24	49295443
2019-12-23	53707143
2019-12-22	45945014
2019-12-21	55906850
2019-12-20	50742094
2019-12-19	82228362
2019-12-18	65952557
2019-12-17	45714953
2019-12-16	51832597
2019-12-15	45592645
2019-12-14	40075388
2019-12-13	48762254
2019-12-12	47140436
2019-12-11	44190518
2019-12-10	64395774
2019-12-09	66861132
2019-12-08	47982487
2019-12-07	53116643
2019-12-06	62306478
2019-12-05	74618704
2019-12-04	63142402
2019-12-03	63544515
2019-12-02	63694061
2019-12-01	58377639
2019-11-30	66179186
2019-11-29	56163266
2019-11-28	52257254
2019-11-27	75928922
2019-11-26	70406454
2019-11-25	62931159
2019-11-24	52299802
2019-11-23	49140761
2019-11-22	57388925
2019-11-21	56829145
2019-11-20	51467740
2019-11-19	59613211
2019-11-18	49266024
2019-11-17	53993677
2019-11-16	55428367
2019-11-15	71308662
2019-11-14	65171649
2019-11-13	54577243
2019-11-12	70813701
2019-11-11	79450056
2019-11-10	65891172
2019-11-09	56223026
2019-11-08	56021618
2019-11-07	80311460
2019-11-06	72349463
2019-11-05	71070569
2019-11-04	77360202
2019-11-03	67538495
2019-11-02	59350490
2019-11-01	64695289
2019-10-31	69662392
2019-10-30	76136487
2019-10-29	82732841
2019-10-28	87255390
2019-10-27	78691688
2019-10-26	71877101
2019-10-25	99162003
2019-10-24	68041266
2019-10-23	72940951
2019-10-22	72343657
2019-10-21	70940668
2019-10-20	57872507
2019-10-19	65081442
2019-10-18	66577848
2019-10-17	56915770
